,date_transaction,compte_debit,compte_credit,montant,description
0,2022-10-05,1234567890123456789,9876543210987654321,2500.0,Virement de la societe ABC SARL pour paiement de fournisseurs
1,2022-10-05,9876543210456789210,7412589630124785690,500.0,Retrait despeces au distributeur automatique Agdal 2
2,2022-10-06,8523697412589632147,9632587410369852145,1200.0,Paiement de facture delectricite pour le client M. Kamal EL IDRISSI
3,2022-10-06,7412589630669852147,9856214780369852147,8000.0,Virement de salaire pour lemploye Mme. Fatima ZAHIR
4,2022-10-07,9632147853698521475,9874526310369587410,150.0,Achat avec carte bancaire chez Amazon
5,2022-10-08,9874526313659874123,7458963214563217895,800.0,Paiement du loyer pour le client M. Ahmed CHAKIR
6,2022-10-08,7458963210369852415,1478523698254789652,3000.0,Virement du compte epargne vers le compte courant de Mme. Amina BOUREZI
7,2022-10-09,1478523698523698741,2013654897458963214,450.0,Paiement de carte de credit pour le client Mme. Sanaa NAJIB
8,2022-10-09,2013654898745698521,3214569874123658974,670.0,Achat en ligne sur Jumia
9,2022-10-10,3214569874123658963,4563219874563214598,840.0,Paiement de facture deau pour le client M. Youssef MOUSTAKI
10,2022-10-11,4563219874123659874,1478523698521478523,1000.0,Virement de la societe XYZ Inc. pour le projet de construction
11,2022-10-11,1478523698256987452,9874563213698521475,270.0,Achat de billets de train au guichet de la gare Casa Voyageurs
12,2022-10-11,9874563210369874521,2314569874523698745,320.0,Paiement du forfait mobile pour le client Mme. Leila BENSON
13,2022-10-12,2314569874523698745,6321478963214578963,5000.0,Pret personnel accorde a M. Karim DAOUDI
14,2022-10-13,6321478963214578963,2148963259687451236,1250.0,Remboursement demprunt pour le client Mme. Salma HAFID
15,2022-10-14,2148963259687451236,4569873214569873265,720.0,Achat de cadeaux pour fete danniversaire
16,2022-10-15,4569873214569873265,7894563214789652314,150.0,Achat de fleurs chez le fleuriste Rue Mohammed V
17,2022-10-16,7894563214789652314,1236547896321478963,380.0,Paiement de labonnement Internet pour le client M. Yassir EL MAHI
18,2022-10-17,1236547896321478963,9874563213698521475,960.0,Paiement de frais de scolarite pour lecole de M. Rayan ALAOUI
19,2022-10-17,9874563213698521475,7412589630258963214,300.0,Virement a un ami pour remboursement de pret
20,2022-10-18,7412589630258963214,8523697412369851478,500.0,Achat de livres a la librairie Papeterie Nationale
21,2022-10-18,8523697412369851478,6987451236958741236,420.0,Paiement de lassurance habitation pour le client Mme. Samira CHAOUI
22,2022-10-19,6987451236958741236,111222333444555666777,780.0,Virement pour investissement dans le plan depargne
23,2022-10-20,111222333444555666777,222333444555666777888,1450.0,Achat de meubles pour la nouvelle maison
24,2022-10-21,222333444555666777888,333444555666777888999,660.0,Paiement de la cotisation au club de sport pour le client M. Hassan GHARBI
25,2022-10-22,333444555666777888999,444555666777888999000,390.0,Achat de tickets de concert en ligne
26,2022-10-23,444555666777888999000,555666777888999000111,1120.0,Paiement de frais medicaux pour le client Mme. Aicha EL KADIRI
27,2022-10-24,555666777888999000111,666777888999000111222,580.0,Virement a la famille pour laide financiere
28,2022-10-25,666777888999000111222,777888999000111222333,950.0,Achat de materiel de bricolage pour renovation de la maison
29,2022-10-26,777888999000111222333,888999000111222333444,730.0,Paiement des frais de jardinage pour le client M. Nizar OUAZIZ
30,2022-10-27,888999000111222333444,999000111222333444555,240.0,Achat de materiel de sport chez Decathlon
31,2022-10-28,999000111222333444555,000111222333444555666,690.0,Virement a un proche pour projet dinvestissement
32,2022-10-29,000111222333444555666,111222333444555666777,780.0,Paiement de labonnement a la salle de gym pour le client Mme. Yasmina OUALI
33,2022-10-30,111222333444555666777,222333444555666777888,880.0,Virement a un ami pour soutien financier
34,2022-10-31,222333444555666777888,333444555666777888999,430.0,Paiement de cours de musique pour le client M. Walid SEBTI
35,2022-11-01,333444555666777888999,444555666777888999000,1200.0,Achat de billets davion pour vacances dhiver
36,2022-11-02,444555666777888999000,555666777888999000111,670.0,Virement depargne vers compte courant pour depenses mensuelles
37,2022-11-03,555666777888999000111,666777888999000111222,890.0,Paiement de la mutuelle sante pour le client Mme. Sofia HALIMI
38,2022-11-04,666777888999000111222,777888999000111222333,340.0,Achat de produits bio au marche du quartier
39,2022-11-05,777888999000111222333,888999000111222333444,720.0,Paiement de la facture de telephone pour le client M. Mehdi BOULAHIA
40,2022-11-06,888999000111222333444,999000111222333444555,480.0,Virement pour achat de materiel informatique
41,2022-11-07,999000111222333444555,000111222333444555666,650.0,Paiement de labonnement a Netflix pour le client Mme. Laila HAKIM
