,numero_carte,titulaire,limite_depense_mensuelle,date_validite,seuil_opposition
0,7890 1234 5678 9012,Fatima Khalil,15000 MAD,2024-12-01,5000 MAD
1,6754 3210 9876 5432,Youssef Amrani,25000 MAD,2023-09-01,10000 MAD
2,0987 6543 2109 8765,Nadia Fassi,20000 MAD,2025-06-01,7500 MAD
3,1234 5678 9012 3456,Khalid Haddaoui,30000 MAD,2024-03-01,12000 MAD
4,5432 1098 7654 3210,Leila Chakir,18000 MAD,2023-08-01,8000 MAD
5,9786 5432 0198 7654,Mohamed El Youssoufi,22000 MAD,2025-11-01,9000 MAD
6,3456 7890 1234 5678,Sara El Khamlichi,27000 MAD,2024-07-01,11000 MAD
7,2109 8765 4321 0987,Amine Bennani,19000 MAD,2023-04-01,7000 MAD
8,4567 8901 2345 6789,Imane Lahmamsi,21000 MAD,2025-10-01,9500 MAD
9,6543 2109 8765 4321,Omar Kabbaj,28000 MAD,2024-05-01,11500 MAD
10,8901 2345 6789 0123,Loubna Slaoui,25000 MAD,2023-02-01,10500 MAD
11,4321 0987 6543 2109,Hicham Massi,26000 MAD,2025-09-01,10000 MAD
12,7809 1234 5678 9012,Amina Chraibi,29000 MAD,2024-02-01,12500 MAD
13,6742 3201 9876 5432,Yassine Bouhaddi,17000 MAD,2023-08-01,8000 MAD
14,0918 7654 3210 9876,Rita Belkadi,23000 MAD,2025-04-01,9000 MAD
15,3421 0987 6543 2109,Hamza Lahlou,31000 MAD,2024-03-01,13000 MAD
16,7801 2345 6789 0123,Salma El Mekki,26000 MAD,2023-07-01,10500 MAD
17,8921 3456 7890 1234,Karim Mezouar,28500 MAD,2025-11-01,11500 MAD
18,6512 1098 7654 3210,Leila Bensaid,19500 MAD,2023-06-01,7000 MAD
19,7345 6789 0123 4567,Rachid Tazi,32000 MAD,2024-05-01,13500 MAD
20,2345 6789 0123 4567,Nora Fakir,27500 MAD,2023-08-01,11000 MAD
21,9810 2345 6789 0123,Youssef Hibatallah,20500 MAD,2023-01-01,9500 MAD
22,3465 7890 1234 5678,Fatima Zerrouki,29500 MAD,2025-12-01,12000 MAD
23,8782 3210 9876 5432,Karima Benmoussa,17500 MAD,2024-07-01,8500 MAD
24,2190 8765 4321 0987,Tarik Guedira,22500 MAD,2023-10-01,10000 MAD
25,4512 0987 6543 2109,Nadia Benani,31500 MAD,2025-11-01,13000 MAD
26,7851 2345 6789 0123,Ayoub El Fassi,26500 MAD,2023-09-01,11000 MAD
27,8923 4567 8901 2345,Samia Hassani,28000 MAD,2024-02-01,11500 MAD
28,6561 0987 6543 2109,Sofia Ait Lachgar,32000 MAD,2025-07-01,13500 MAD
29,7324 3201 9876 5432,Abdelkader El Hamida,21000 MAD,2024-04-01,9500 MAD
30,0901 8765 4321 0987,Sanaa Lamrani,23500 MAD,2023-09-01,10000 MAD
31,3492 0987 6543 2109,Hassan Sebbar,30000 MAD,2025-03-01,12500 MAD
32,7813 2345 6789 0123,Selma Marzouki,26500 MAD,2023-06-01,11000 MAD
33,8925 4567 8901 2345,Hicham Sefrioui,27000 MAD,2024-01-01,11500 MAD
34,6518 0987 6543 2109,Maha Berrada,29000 MAD,2025-05-01,12000 MAD
35,7342 3201 9876 5432,Anas Elouali,20000 MAD,2024-10-01,9000 MAD
36,0911 8765 4321 0987,Dounia Jai,24000 MAD,2023-11-01,10000 MAD
37,3412 0987 6543 2109,Yassin Maliki,29500 MAD,2025-06-01,12000 MAD
38,7807 2345 6789 0123,Sara Alaoui,27500 MAD,2025-12-01,11500 MAD
39,8927 4567 8901 2345,Rachida Harmouz,32000 MAD,2024-09-01,13000 MAD
40,6514 1098 7654 3210,Wassim Cherkaoui,25500 MAD,2023-04-01,10500 MAD
41,7320 3201 9876 5432,Nawal Benyousef,21500 MAD,2025-08-01,9500 MAD
42,0909 8765 4321 0987,Wissam Chafii,30000 MAD,2024-03-01,12500 MAD
43,3414 0987 6543 2109,Yasmine Maimouni,27000 MAD,2023-05-01,11000 MAD
