,numero,nom,prenom,âge,solde,plafond
0,CK001,Ali,Lina,9,500,1000
1,CK002,Hassan,Nora,10,700,1200
2,CK003,Khalid,Yasmine,8,450,800
3,CK004,Fatima,Younes,11,600,1000
4,CK005,Mehdi,Nawal,9,550,900
5,CK006,Nabil,Sara,7,400,700
6,CK007,Sofia,Zakaria,12,700,1100
7,CK008,Amine,Loubna,8,500,950
8,CK009,Ines,Karim,10,650,1050
9,CK010,Omar,Hiba,9,480,800
10,CK011,Rania,Badr,11,600,1000
11,CK012,Yassin,Meryem,8,430,750
12,CK013,Lina,Othman,9,550,900
13,CK014,Yasmina,Kamal,10,670,1100
14,CK015,Mohamed,Houda,7,390,700
15,CK016,Imane,Ahmed,12,720,1200
16,CK017,Adam,Safia,8,480,850
17,CK018,Leila,Omar,9,520,900
18,CK019,Amir,Hajar,10,630,1050
19,CK020,Amira,Abdel,11,650,1100
20,CK021,Khalil,Amina,8,450,800
21,CK022,Dounia,Younes,9,520,950
22,CK023,Anas,Nadia,12,720,1200
23,CK024,Ilias,Samia,7,400,700
24,CK025,Loubna,Reda,8,470,800
25,CK026,Karima,Ayoub,10,610,1000
26,CK027,Mehdi,Sabrina,9,580,900
27,CK028,Nawal,Omar,11,640,1100
28,CK029,Younes,Sanaa,7,380,700
29,CK030,Sarah,Karim,9,520,900
30,CK031,Malak,Anas,10,620,1050
31,CK032,Yusra,Yassir,12,710,1200
32,CK033,Zineb,Hakim,8,460,800
33,CK034,Khalid,Fatima,9,540,900
34,CK035,Nora,Sofian,11,630,1100
35,CK036,Saad,Ines,7,370,700
36,CK037,Meryem,Reda,8,480,850
37,CK038,Kamal,Salma,9,510,900
38,CK039,Wassim,Sara,10,600,1050
39,CK040,Fatima,Adil,11,640,1100
40,CK041,Abdel,Rania,12,690,1200
41,CK042,Sofia,Mehdi,8,430,800
42,CK043,Omar,Leila,9,500,900
43,CK044,Hiba,Amir,10,590,1000
44,CK045,Amina,Ilyas,11,620,1050
45,CK046,Yacine,Ines,7,360,700
46,CK047,Sofia,Najib,8,470,850
47,CK048,Anis,Nadia,9,490,900
48,CK049,Ismael,Yasmine,10,600,1050
49,CK050,Nour,Khalid,12,680,1200
