,num_carte,date_expiration,code_securite,solde,date_creation,beneficiaire,cin,tel
0,1212 3456 7890 1234,12/25,123,500,01/20,Ahmed Benali,AB123456,650123456
1,9876 5432 1098 7654,09/24,456,1000,05/19,Fatima Amrani,FA987654,650876543
2,5555 2222 3333 4444,06/23,789,750,11/18,Mehdi Cherkaoui,MC654321,650555000
3,1111 2222 3333 4444,03/22,432,2000,09/17,Nora El Khattabi,NK777555,650999888
4,7777 8888 9999 0000,08/26,567,300,04/21,Samir Rami,SR333777,650123999
5,3333 2222 3333 4444,11/25,234,1500,10/19,Laila Oulad,LO222333,650555341
6,4444 5555 6666 7777,02/23,678,600,06/20,Youssef Choukri,YC543216,650877777
7,9999 8888 7777 6666,05/24,543,900,02/19,Karima El Makri,KM9876543,650123456
8,6666 5555 4444 3333,10/23,321,1200,07/18,Rachid Souiri,RS777000,650555771
9,2222 9999 8888 7777,07/25,876,400,03/20,Halima Essafi,HE147852,650874678
10,7777 9999 5555 4444,09/23,345,800,08/19,Sara Bennani,SB369874,650246815
11,8888 7777 6666 5555,12/26,654,450,01/21,Khalid El Alaoui,KE987123,650112356
12,5555 4444 3333 2222,04/24,210,1100,12/18,Amina Berrada,AB741852,650555321
13,2222 3333 4444 5555,01/23,543,700,07/20,Omar Haddad,OH159753,650877412
14,9999 5555 6666 7777,06/22,432,1600,02/17,Houda Bouchama,HB369852,650999888
15,1111 3333 4444 5555,03/25,765,1300,09/19,Adil El Idrissi,AE987123,650123000
16,6666 7777 8888 9999,02/24,210,3000,06/17,Souad Bouhaddi,SB456987,650898765
17,3333 4444 5555 6666,05/23,654,950,10/18,Mohamed El Fassi,ME369852,650555478
18,8888 9999 6666 5555,08/26,321,250,04/21,Ibtissam Khamlichi,IK987123,650123999
19,4444 3333 5555 6666,11/25,876,700,10/19,Yassin Es-saad,YE663399,650555874
20,7777 5555 9999 4444,12/23,543,1800,08/19,Lina Oubaha,LO557733,650877777
21,5555 6666 3333 4444,09/26,456,1400,06/20,Mustapha Loukili,ML445588,650123456
22,8888 3333 9999 4444,01/25,654,850,07/20,Hajar El Fadil,HE778899,650555771
23,1111 7777 3333 4444,12/23,987,200,03/19,Othmane El Ouarti,OE333444,650860835
24,9999 5555 1111 3333,04/26,456,1600,10/20,Salma Bouhaddi,SB114477,650334466
25,2222 6666 3333 4444,09/23,543,1100,01/19,Abdelkrim Kabbaj,AK667788,650555033
26,7777 5555 3333 4444,07/25,987,400,05/20,Hind Moussaoui,HM119966,650112233
27,1111 9999 5555 4444,02/26,654,900,11/20,Ayoub Salmi,AS554433,650503010
28,6666 4444 3333 5555,06/25,210,1400,12/19,Sanaa Bouchama,SB556699,650112547
29,3333 9999 4444 5555,10/23,765,750,08/18,Khalid Ennaji,KE445577,650555122
30,8888 2222 6666 4444,01/26,432,2000,06/20,Nadia Belalia,NB112233,650336897
31,2222 7777 5555 3333,11/25,678,500,02/19,Imane Sahraoui,IS773311,650112345
32,4444 6666 9999 3333,03/23,543,1800,09/19,Yassine El Alami,YE223344,650555689
33,9999 1111 3333 6666,05/22,876,950,07/17,Rita Bekkali,RB112233,650897474
34,5555 3333 7777 2222,08/23,432,700,04/19,Abir Sabir,AS336699,650999555
35,6666 2222 5555 4444,02/25,765,1200,12/19,Youssef El Khatib,YE557799,650555333
36,1111 4444 7777 8888,07/26,543,300,01/21,Said Hakimi,SH445577,650123000
37,7777 9999 3333 1111,10/25,987,1600,05/20,Najat El Kadi,NK223344,650112877
38,3333 5555 9999 4444,12/23,678,1300,08/19,Salah Laaroussi,SL998877,650877098
39,8888 6666 2222 5555,06/26,543,800,11/20,Aicha Lahlou,AL775588,650555555
40,4444 9999 7777 3333,03/24,876,400,07/19,Aziz El Haddi,AE443322,650898383
41,9999 2222 5555 8888,08/25,432,900,04/20,Nadia Lamine,NL223344,650112111
