,client,numero_compte,montant,taux_interet,date_emission,date_echeance
0,Karim El Amrani,123456789,50000,3.5,2022-01-03,2022-07-03
1,Fatima Benjelloun,987654321,75000,3.2,2022-02-15,2022-08-15
2,Younes Fassi,456789123,40000,3.0,2022-03-20,2022-09-20
3,Leila Zouhir,321654987,60000,3.7,2022-04-10,2022-10-10
4,Mohammed El Haddad,654321987,100000,3.8,2022-05-22,2022-11-22
5,Najat Chaoui,789456321,85000,3.4,2022-06-28,2022-12-28
6,Ahmed Oulad,147258369,30000,2.8,2022-07-30,2023-01-30
7,Sanaa Chakir,369258147,70000,3.1,2022-08-25,2023-02-25
8,Abdelali Ghoulam,258369147,92000,3.9,2022-09-05,2023-03-05
9,Imane Kabbaj,985632147,52000,3.3,2022-10-12,2023-04-12
10,Rachid Belkadi,321987654,43000,3.6,2022-11-18,2023-05-18
11,Salma Harraq,965874123,78000,3.5,2022-12-20,2023-06-20
12,Yassine Salah,456321987,35000,2.9,2023-01-10,2023-07-10
13,Amina Lahbabi,321654987,69000,3.2,2023-02-05,2023-08-05
14,Omar Berrada,987321654,61000,3.4,2023-03-15,2023-09-15
15,Houda El Kadiri,789456123,48000,3.0,2023-04-28,2023-10-28
16,Khalid Bakri,147852369,54000,3.3,2023-05-16,2023-11-16
17,Nawal Fekkak,369258741,67000,3.6,2023-06-02,2023-12-02
18,Hamza Chouaib,321654987,74000,3.8,2023-07-25,2024-01-25
19,Zineb Fathi,369147258,92000,3.9,2023-08-18,2024-02-18
20,Ayoub Moussaoui,987456321,78000,3.7,2023-09-10,2024-03-10
21,Meryem Barka,123987654,49000,3.2,2023-10-03,2024-04-03
22,Ahmed El Mansouri,321654987,92000,3.9,2023-11-20,2024-05-20
23,Asmae Mernissi,987456123,83000,3.5,2023-12-22,2024-06-22
24,Younes El Fakir,369258147,70000,3.1,2024-01-10,2024-07-10
25,Karima Salhi,258369147,61000,3.4,2024-02-05,2024-08-05
26,Rachida Oubella,965874123,75000,3.3,2024-03-15,2024-09-15
27,Abdellah Bensaid,456321987,48000,3.2,2024-04-28,2024-10-28
28,Yasmine El Kadiri,321654987,54000,3.7,2024-05-16,2024-11-16
29,Imad Akrami,369258741,67000,3.9,2024-06-02,2024-12-02
30,Sara Hajji,321654987,92000,3.8,2024-07-25,2025-01-25
31,Adil Salmi,369147258,72000,3.5,2024-08-18,2025-02-18
32,Latifa Harrak,987456321,63000,3.2,2024-09-10,2025-03-10
33,Amine Oufkir,123987654,56000,3.1,2024-10-03,2025-04-03
34,Sofia Benjelloun,321654987,87000,3.6,2024-11-20,2025-05-20
35,Zakaria Manouni,987456123,89000,3.9,2024-12-22,2025-06-22
36,Fatiha El Amrani,369258147,69000,3.4,2025-01-10,2025-07-10
37,Abderahim Zeroual,258369147,77000,3.3,2025-02-05,2025-08-05
38,Meriem Ait Ali,965874123,54000,2.9,2025-03-15,2025-09-15
39,Khalid El Fassi,456321987,76000,3.7,2025-04-28,2025-10-28
40,Salima Chakir,321654987,59000,3.3,2025-05-16,2025-11-16
