,id_contact,type_contact,coordonnees_contact
0,5e9bf96b-7e52-4b50-923e-860a4f31b9dd,espece,0143192798
1,9f2225de-68ef-4a9b-afda-c9e21b665ec2,vaste,+33 4 83 96 59 27
2,2b0bc126-2947-409e-8c2e-2bdafe0471f1,presque,0646122116
3,151b4838-6186-4cf0-8e6e-b5e4eabc7d4e,haut,+33 2 30 68 74 37
4,2a9e6abb-1cd0-4c4b-8451-70783c767295,camarade,+33 2 72 88 24 18
5,87f0277c-faa3-411d-9b2e-b0ce44616297,cent,+33 2 35 21 99 71
6,251baaee-1c55-4de9-85de-710dce282e70,voyage,+33 1 74 44 06 15
7,e4b70a30-843f-4d77-b2c4-b4ab5cd3063a,apres,+33 4 94 37 27 46
8,395ebdaa-a351-4ceb-8d9d-9641bcef5def,gout,0494174601
9,bb43dc76-38ed-41f9-be9d-b53678a07f1a,jamais,+33 2 50 24 01 17
10,4a2af3d8-998c-42df-a555-6821f9f00dfc,regard,+33 5 61 48 70 83
11,4272452c-953b-4cc6-a014-93ee0def933a,me,+33 (0)3 56 11 19 56
12,44f7f930-78bd-4c2f-aa9b-4807566942f0,unique,+33 (0)4 90 17 14 83
13,c9893e96-e68f-4762-9fee-f5a7dd2a8fa1,gens,+33 (0)4 97 62 05 11
14,44aa1214-edfe-430d-b8df-d20bdfe7e7d2,decrire,04 38 86 30 93
15,6b51b5b4-852a-4d19-9042-a1af0940485c,rencontrer,03 76 29 33 58
16,2d7df515-8c42-45c1-bc56-a09495cd3717,peur,+33 2 49 10 99 16
17,9900d7d3-f0f7-4855-99eb-5521fd775954,meme,01 34 72 64 30
18,f16746ef-6871-48e1-9b78-d6026a8548c4,pauvre,+33 1 53 34 39 15
19,68a71176-a520-4d4e-97d0-7b8b1813fc4c,siege,05 08 52 41 60
20,f61ebc73-ea38-49bf-94d9-bbdbb18beb99,etendre,+33 (0)2 31 05 18 58
21,84e983b3-c0ed-4057-8b2d-2bfb6b79e8d9,trace,+33 (0)6 07 34 87 86
22,381403df-27f4-426c-976e-59434c8ee70f,rapport,0531520374
23,53d7a4da-eded-49b8-8e1c-cd5bb6913351,vieux,0559612356
24,c6a562d0-690b-4232-a086-acdb62ca45a9,respect,03 82 34 95 47
25,f51db771-1bc4-4f73-a8b6-cb6b09cf48d5,violent,+33 (0)5 33 32 42 96
26,81a25032-54b1-45d3-ab6b-ae3cdcf2f1e3,examiner,0371130133
27,270b303a-b885-4e40-84fc-7228e083df5a,eternel,+33 (0)5 56 89 37 68
28,4e1222b3-3c09-49c4-8c36-fa04dccf55ad,egalement,0139232061
29,67427322-1a6e-4f7f-b2be-fc7b0af7db5e,coin,+33 (0)7 46 35 57 51
30,89891f3c-0cc6-430a-b0dc-19ae6c7c2375,sombre,+33 (0)1 72 81 46 56
31,5f755087-4713-4705-9452-710c0e19110e,six,+33 (0)2 29 38 49 50
32,7e37c1b8-864a-4676-b115-01ae9f89939d,cinq,05 08 78 42 43
33,7d0435cc-c46a-4515-894a-617bce23bd4e,ventre,06 99 82 67 61
34,f5f07fe2-db6b-48f4-8328-a70a04cc8ff2,ame,+33 (0)4 70 77 23 17
35,e6272e80-b141-4b54-8d6c-c890546e3a56,page,+33 4 26 72 26 71
36,74bedf0c-a7fb-490c-a821-766e83388077,fin,05 47 69 21 65
37,a666774a-01bb-44ae-a675-9e8f5ab8433d,detruire,0218842869
38,2dc14094-33b9-4f28-81c8-2aaae649234d,emotion,+33 (0)5 18 65 61 18
39,06055a5a-919d-4636-b056-5373993b094c,debout,+33 (0)3 69 10 96 25
40,0d2a6a88-f41b-4fa8-ae97-91c35bad5dcc,rendre,0415894575
41,d8719c18-5631-43b8-aad5-29742af45fa3,promettre,+33 (0)1 42 43 52 93
42,8c88f6e6-50fa-47aa-a691-217c186d9a3e,sentir,0177146995
43,0e5d465f-0d7a-40c1-a5d4-ab6c7b6b6d82,souffrance,+33 7 43 08 60 57
44,6ec76d6f-0c36-4ce1-98ea-4555c729719e,apparence,0532785711
45,5a7744ce-e332-4542-b48e-12bd3bf17944,passage,04 82 16 50 00
46,a0ba5924-79cf-43cb-929e-e0d6b19f87ad,egal,+33 3 29 43 14 25
47,907ebc3e-47d2-4f33-9598-24d7d83593d2,visite,+33 2 58 73 60 35
48,608ad313-cc20-4d48-9b74-593681f904ca,declarer,+33 (0)4 23 89 66 94
49,f6cf7ce0-6acb-4b09-8742-7830da1ed759,confier,04 75 49 95 00
