,num_coffre,localisation,taille,responsable
0,CF001,Agence Casablanca Centre,Grand,Souad Ait Slimane
1,CF002,Agence Rabat Agdal,Moyen,Ahmed Ben Mansour
2,CF003,Agence Tanger Ville Nouvelle,Petit,Fatima El Khatib
3,CF004,Agence Marrakech Gueliz,Tres Grand,Khalid Chakir
4,CF005,Agence Fes Ville,Moyen,Nadia El Idrissi
5,CF006,Agence Casablanca Hay Hassani,Petit,Reda Belkasmi
6,CF007,Agence Rabat Yacoub El Mansour,Grand,Loubna Bennis
7,CF008,Agence Agadir Centre,Moyen,Karim El Ghazi
8,CF009,Agence Tetouan Centre,Tres Grand,Samira El Fassi
9,CF010,Agence Casablanca Ain Diab,Petit,Youssef Akhssassi
10,CF011,Agence Rabat Medina,Grand,Sanaa Chafik
11,CF012,Agence Oujda Centre,Moyen,Imane Benjelloun
12,CF013,Agence Casablanca Sidi Bernoussi,Tres Grand,Mohamed El Majdoub
13,CF014,Agence Meknes Centre,Grand,Najat Chahdi
14,CF015,Agence Casablanca Derb Ghallef,Petit,Anas Moussaoui
15,CF016,Agence Casablanca Al Fida,Moyen,Houda El Guendouz
16,CF017,Agence Casablanca El Maarif,Tres Grand,Abdelkader Sahnoun
17,CF018,Agence Casablanca Anfa,Grand,Amina El Amrani
18,CF019,Agence Casablanca Oasis,Petit,Said Zerouali
19,CF020,Agence Rabat Hassan,Moyen,Hajar El Mouden
20,CF021,Agence Rabat Souissi,Tres Grand,Yasmine Boutaleb
21,CF022,Agence Agadir Founty,Grand,Mehdi Bennis
22,CF023,Agence Tanger Al Amal,Petit,Latifa El Mahdaoui
23,CF024,Agence Marrakech Palmeraie,Moyen,Soukaina Bouzid
24,CF025,Agence Fes Borj Fes,Tres Grand,Rachid El Harraqui
25,CF026,Agence Casablanca Maarif Extension,Grand,Siham Zemmouri
26,CF027,Agence Marrakech Medina,Petit,Youness El Badri
27,CF028,Agence Casablanca Quartier des Hopitaux,Moyen,Lina El Khattabi
28,CF029,Agence Tanger Al Kasbah,Tres Grand,Fatiha Boushaba
29,CF030,Agence Agadir Founty Extension,Grand,Hassan El Rhazoui
30,CF031,Agence Tetouan Centre Ville,Petit,Imad Cherkaoui
31,CF032,Agence Oujda Medina,Moyen,Nora El Amrani
32,CF033,Agence Meknes Ville Nouvelle,Tres Grand,Hamza Ait Chikh
33,CF034,Agence Casablanca Californie,Grand,Sara El Mansouri
34,CF035,Agence Casablanca Maarif,Petit,Ahmed El Hami
35,CF036,Agence Casablanca Racine,Moyen,Khadija El Guerrouj
36,CF037,Agence Casablanca Bouskoura,Tres Grand,Mustapha El Hadari
37,CF038,Agence Casablanca Sbata,Grand,Rania El Marrakchi
38,CF039,Agence Casablanca Dar Bouazza,Petit,Abdou Saadi
39,CF040,Agence Rabat Diour Jamaa,Moyen,Meryem El Ghazi
40,CF041,Agence Rabat Souissi Extension,Tres Grand,Badr Bouziane
41,CF042,Agence Agadir Founty Plage,Grand,Fatima Zahra Boulahia
42,CF043,Agence Tanger Al Irfane,Petit,Omar El Mekki
43,CF044,Agence Marrakech Gueliz Extension,Moyen,Nabil El Fahim
44,CF045,Agence Fes Ville Nouvelle,Tres Grand,Nadia El Fassi
45,CF046,Agence Casablanca Sidi Moumen,Grand,Rachida El Aouad
46,CF047,Agence Marrakech Amizmiz,Petit,Hamza El Kandis
47,CF048,Agence Casablanca Sidi Maarouf,Moyen,Fatima Zahra El Ouazzani
48,CF049,Agence Casablanca Belvedere,Tres Grand,Khalid El Haouzi
49,CF050,Agence Rabat Hassan Extension,Grand,Houda El Jai
