,identifiant,client,compte,montant_epargne,taux_interet,interets_gagnes
0,1,Ahmed Benjelloun,1020304050,15000,3.5,525
1,2,Fatima El Alaoui,2021222324,25000,2.8,700
2,3,Mehdi Chakir,3031323334,10000,4.2,420
3,4,Layla Fassi,4041424344,35000,3.0,1050
4,5,Karim Haddad,5051525354,20000,3.1,620
5,6,Leila Marouani,6061626374,18000,2.5,450
6,7,Omar Boussaid,7071727374,28000,3.6,1008
7,8,Nadia Ouazzani,8081829384,15000,4.0,600
8,9,Samir Kettani,9091920344,32000,2.7,864
9,10,Amina Essafi,10110210344,25000,3.3,825
10,11,Hicham Berbich,11111211394,18000,2.9,522
11,12,Houda El Omari,12112212344,21000,3.8,798
12,13,Ali Boulifa,13113213344,30000,4.1,1230
13,14,Sanae Lahlali,14114214344,26000,3.4,884
14,15,Mounir Bennis,15115215344,35000,2.6,910
15,16,Salma Zahiri,16116216344,19000,3.2,608
16,17,Achraf Belhaj,17117217344,23000,3.7,851
17,18,Nisrine El Mahjoub,18118218344,27000,2.4,648
18,19,Youssef Arif,19119219344,32000,3.9,1248
19,20,Sara El Haddaoui,20120220344,21000,2.6,546
20,21,Adil Chraibi,21121221344,18000,3.1,558
21,22,Imane Kharbouch,22122222344,24000,3.4,816
22,23,Yassine Ouhbi,23123223344,28000,2.8,784
23,24,Rabia Moussaoui,24124224344,20000,3.5,700
24,25,Khalid Chamlal,25125225344,29000,3.0,870
25,26,Safia Bouhaddi,26126226344,26000,2.7,702
26,27,Reda Harfouche,27127227344,22000,3.2,704
27,28,Hanae Boudali,28128228344,18000,3.8,684
28,29,Yassir El Bakkali,29129229344,33000,2.4,792
29,30,Amal Jaafari,30130230344,25000,3.6,900
30,31,Kamal Lahmadi,31131231344,19000,3.1,589
31,32,Soukaina Rachidi,32132232344,27000,3.9,1053
32,33,Anas El Haouari,33133233344,35000,3.5,1225
33,34,Ibtissam Oulad,34134234344,20000,2.7,540
34,35,Younes Berrada,35135235344,30000,3.2,960
35,36,Sanaa El Fatmi,36136236344,23000,2.9,667
36,37,Aliya Bougrine,37137237344,28000,3.6,1008
37,38,Ahmed Taoufik,38138238344,32000,3.8,1216
38,39,Nawal Bouhaddou,39139239344,21000,2.5,525
39,40,Ali El Filali,40140240344,19000,3.0,570
40,41,Aicha Eddahabi,41141241344,24000,3.1,744
41,42,Mouna El Abidi,42142242344,26000,3.4,884
42,43,Hicham Driouech,43143243344,27000,2.8,756
43,44,Safaa Bensouda,44144244344,30000,2.6,780
44,45,Omar Kassimi,45145245344,22000,3.3,726
45,46,Najwa Maataoui,46146246344,18000,3.5,630
46,47,Hassan Lahlou,47147247344,31000,3.7,1147
47,48,Nisrine El Omari,48148248344,33000,2.9,957
48,49,Ali El Mouni,49149249344,24000,3.6,864
49,50,Hanae Benzakour,50150250344,26000,3.0,780
