,client,numero_compte,montant,date_operation,type_operation
0,Ahmed Benali,789456123,1500,2021-07-15,Retrait
1,Sofia El Mehdi,258741369,3500,2021-07-21,Versement
2,Mustapha Touzani,147852369,2000,2021-07-18,Retrait
3,Khadija Boudaoud,369852147,1000,2021-07-19,Versement
4,Karim Ouali,123654789,500,2021-07-23,Retrait
5,Nawal El Aarabi,987456321,3000,2021-07-26,Versement
6,Rachid Zitouni,753951846,2500,2021-07-28,Retrait
7,Fatima Amrani,654123789,1800,2021-07-22,Versement
8,Youssef El Moussaoui,456789123,1200,2021-07-20,Retrait
9,Hafsa Benmahjoub,369258147,2800,2021-07-24,Versement
10,Ali El Alami,987654321,600,2021-07-25,Retrait
11,Lina El Hadaoui,321456987,2200,2021-07-16,Versement
12,Omar Laabich,852369741,1500,2021-07-27,Retrait
13,Sara Boulahia,695237841,3500,2021-07-31,Versement
14,Mohamed Abadi,478596231,1900,2021-07-29,Retrait
15,Leila Fassi,123698547,1000,2021-08-03,Versement
16,Khalid Khattabi,741852963,500,2021-08-01,Retrait
17,Amina El Fassi,369147852,3000,2021-08-05,Versement
18,Nadia Baroudi,852369147,2500,2021-08-07,Retrait
19,Yassine Oufkir,264831975,1800,2021-08-02,Versement
20,Imane Boukhari,963258741,1100,2021-08-04,Retrait
21,Abdelaziz Rahmani,157369824,4000,2021-08-09,Versement
22,Ines Lahmidi,698741235,700,2021-08-06,Retrait
23,Fadwa Benjelloun,258147369,2400,2021-08-10,Versement
24,Younes Bennani,987456123,1600,2021-08-13,Retrait
25,Khouloud El Moutawakil,654321789,3500,2021-08-11,Versement
26,Jamal El Amrani,369258741,2100,2021-08-15,Retrait
27,Sanaa Bennis,123698745,1300,2021-08-12,Versement
28,Mehdi El Guennouni,321654987,2600,2021-08-16,Retrait
29,Nadia Boulahia,741852963,1900,2021-08-19,Versement
30,Karima El Kadiri,789654123,1000,2021-08-17,Retrait
31,Yassin El Haraki,852369147,3200,2021-08-21,Versement
32,Sara Oualha,369874125,1500,2021-08-18,Retrait
33,Imad Ennaciri,987456231,2700,2021-08-23,Versement
34,Leila Zeroual,123698547,1400,2021-08-20,Retrait
35,Kamal Echerradi,147852369,3300,2021-08-25,Versement
36,Meryem Laaroussi,321456987,2000,2021-08-22,Retrait
37,Rachida Rais,852369741,2800,2021-08-27,Versement
38,Sofiane El Moutaouakil,963258741,1200,2021-08-24,Retrait
39,Najlae El Alaoui,369852147,3500,2021-08-29,Versement
40,Othmane Ziani,456987321,1700,2021-08-26,Retrait
41,Yasmine El Fassi,789654123,2400,2021-08-31,Versement
42,Youssef El Kassimi,852369147,2000,2021-09-02,Retrait
