,num_compte,prenom,nom,solde,date_ouverture
0,100012345678,Yasmine,Ait Benhaddou,5000,2020-03-10
1,100045678901,Mehdi,El Kabbaj,2500,2021-06-22
2,100056789012,Fatima,Moussaoui,7000,2019-12-05
3,100067890123,Ahmed,Bouazza,3000,2020-11-30
4,100078901234,Nour,Hassan,4300,2018-02-14
5,100089012345,Karima,Saidi,6000,2019-09-03
6,100090123456,Omar,Chakir,8200,2020-08-20
7,100101234567,Sara,Joumani,5500,2021-05-11
8,100112345678,Yassir,Maarouf,3700,2019-01-28
9,100123456789,Khadija,Ammari,4800,2020-10-15
10,100134567890,Hicham,Benani,6900,2019-04-07
11,100145678901,Ines,Lamrani,6200,2018-07-26
12,100156789012,Anas,Sebbani,7400,2020-01-19
13,100167890123,Lina,Fassi,3400,2019-11-04
14,100178901234,Imane,Bouazzati,4700,2018-04-30
15,100189012345,Adil,Tamrabet,5800,2021-03-09
16,100190123456,Hiba,Chakiri,8100,2019-10-22
17,100201234567,Samir,Jabari,5200,2020-04-18
18,100212345678,Rim,Mehdaoui,3600,2018-09-15
19,100223456789,Zakaria,Atassi,4900,2020-12-03
20,100234567890,Mouna,Hadif,6800,2019-05-14
21,100245678901,Ayoub,Lahbabi,6300,2018-08-10
22,100256789012,Amina,Setti,7300,2020-02-23
23,100267890123,Reda,Fassi,3500,2021-01-16
24,100278901234,Lamia,Boughaba,4600,2018-06-07
25,100289012345,Ismail,Tazi,5700,2019-12-27
26,100290123456,Rania,Chadli,8000,2021-04-13
27,100301234567,Loubna,Jayidi,5400,2018-11-20
28,100312345678,Mehdi,Bousfiha,3800,2020-05-25
29,100323456789,Hind,Slaoui,4700,2019-02-13
30,100334567890,Sofian,Benjamaa,7000,2018-04-02
31,100345678901,Nawal,Laghzaoui,6300,2020-01-07
32,100356789012,Mahmoud,Sakali,7700,2019-06-30
33,100367890123,Salma,Fekkak,3300,2018-08-25
34,100378901234,Aicha,Bouziane,4500,2021-08-02
35,100389012345,Khalid,Tanjawi,5900,2019-05-19
36,100390123456,Myriam,Christopher,8200,2018-01-15
37,100401234567,Brahim,Malik,5300,2020-06-12
38,100412345678,Siham,Oubih,3400,2019-03-04
39,100423456789,Yassine,El Kettani,4800,2018-10-22
40,100434567890,Meryem,Hamdaoui,6900,2020-11-09
41,100445678901,Abdelilah,Lahbabi,6500,2019-07-04
42,100456789012,Hanane,Jamai,7400,2018-03-01
43,100467890123,Salim,Fakr,3600,2021-09-17
