,numero_compte,titulaire,solde,taux_interet
0,LE0001,Fatima Zahra Bensaid,17500.5,3.25
1,LE0002,Mehdi Benmohamed,12000.75,3.0
2,LE0003,Nawal El Ouardi,22050.2,3.5
3,LE0004,Karim Bouda,8000.15,2.75
4,LE0005,Rania Lahssini,15500.3,3.1
5,LE0006,Amrane Maoulainine,28000.0,3.75
6,LE0007,Loubna Charq,9300.45,2.9
7,LE0008,Hamza Benslimane,1750.3,1.5
8,LE0009,Sanaa Soussi,18500.8,3.2
9,LE0010,Adam El Alami,10500.6,2.6
10,LE0011,Aya Haddouch,6500.4,2.2
11,LE0012,Youssef Harif,33000.0,4.0
12,LE0013,Imane Najib,20450.7,3.45
13,LE0014,Samiha Charifi,18700.9,3.25
14,LE0015,Tarek El Kadiri,13500.5,3.05
15,LE0016,Nadia Cherkaoui,9600.25,2.95
16,LE0017,Walid Boulmane,19600.6,3.3
17,LE0018,Asmaa Essakali,7500.35,2.5
18,LE0019,Yassin Benzekri,28500.0,3.8
19,LE0020,Rim Benjelloun,16500.7,3.15
20,LE0021,Omar El Idrissi,4700.2,2.1
21,LE0022,Marwa El Khatib,25300.4,3.65
22,LE0023,Khalil Bouhaddi,21700.8,3.4
23,LE0024,Hiba Maimouni,2800.6,1.8
24,LE0025,Yasmine Marouani,19500.8,3.25
25,LE0026,Mohammed Dahmani,10400.4,2.55
26,LE0027,Ines Laabidi,23700.9,3.55
27,LE0028,Nabil Benjelloun,11500.6,2.7
28,LE0029,Salma El Mhammedi,16550.7,3.1
29,LE0030,Mehdi El Wafi,8500.5,2.8
30,LE0031,Kaoutar Bennani,19700.3,3.35
31,LE0032,Anas El Fassi,16700.5,3.2
32,LE0033,Lamia El Haddadi,9300.6,2.85
33,LE0034,Oussama El Khattabi,17500.8,3.15
34,LE0035,Noura El Omari,8500.2,2.75
35,LE0036,Wassim Himdi,22500.5,3.6
36,LE0037,Rim El Jabri,18800.7,3.3
37,LE0038,Amine El Andaloussi,7200.4,2.45
38,LE0039,Imane Bellakhdar,28700.6,3.85
39,LE0040,Lina Boumediene,16500.9,3.2
40,LE0041,Karim El Mansouri,6700.3,2.25
41,LE0042,Sara Laaroussi,23400.5,3.5
42,LE0043,Meryem El Fahmi,21900.5,3.4
43,LE0044,Mohammed El Ouahabi,3200.2,1.7
44,LE0045,Hajar Boujamaoui,19800.7,3.35
45,LE0046,Othmane Laafoui,10900.4,2.6
46,LE0047,Houda El Mrabet,22600.8,3.65
47,LE0048,Kawtar Benlahcen,19000.8,3.25
48,LE0049,Sami El Kadaoui,9700.5,3.05
49,LE0050,Amina El Kabbaj,12550.7,3.0
