,client,nif,solde,age,statut
0,Fadwa Benali,AB123456,25000.5,45,Actif
1,Karim El Mansouri,CD456789,32000.75,52,Inactif
2,Nadia Amrani,EF789012,18000.3,35,Actif
3,Mehdi Berrada,GH012345,41000.2,48,Actif
4,Yasmine Toumi,IJ345678,29000.65,40,Inactif
5,Ahmed Chakir,KL678901,36000.9,58,Actif
6,Sara Oufkir,MN901234,20000.4,43,Inactif
7,Khalid El Alaoui,OP123567,28000.55,49,Actif
8,Loubna Benjelloun,QR456789,34000.7,55,Inactif
9,Othmane Amiri,ST789012,23000.35,38,Actif
10,Zineb Fassi,UV012345,39000.25,51,Actif
11,Mohammed Khattabi,WX345678,27000.6,42,Inactif
12,Hind El Kaddouri,YZ678901,32000.85,57,Actif
13,Yassine El Fahmi,AB901234,21000.45,44,Inactif
14,Fatiha Lamrani,CD123456,38000.3,50,Actif
15,Ali El Amrani,EF456789,26000.55,41,Inactif
16,Rita Belhaj,GH789012,33000.8,54,Actif
17,Mustapha Mernissi,IJ012345,22000.35,46,Actif
18,Samira Bensaid,KL345678,30000.7,53,Inactif
19,Brahim El Mekki,MN678901,25000.45,39,Actif
20,Laila Chaouki,OP901234,37000.75,56,Inactif
21,Asmaa Benjelloun,QR123456,29000.5,47,Actif
22,Mahmoud El Alaoui,ST456789,40000.8,60,Actif
23,Nisrine Boudraa,UV789012,26000.55,41,Inactif
24,Hakim El Fassi,WX012345,35000.9,59,Actif
25,Hanane Khattabi,YZ345678,24000.4,37,Inactif
26,Malika El Kaddouri,AB678901,33000.7,54,Actif
27,Tarik El Fahmi,CD901234,20000.35,43,Inactif
28,Nora Lamrani,EF123456,31000.9,52,Actif
29,Ismael El Amrani,GH456789,27000.55,42,Inactif
30,Sofia Belhaj,IJ789012,34000.8,55,Actif
31,Khalid Mernissi,KL012345,24000.35,37,Actif
32,Yasmine Bensaid,MN456789,32000.7,53,Inactif
33,Amina El Mekki,OP789012,27000.45,42,Actif
34,Hicham Chaouki,QR012345,38000.75,50,Inactif
35,Halima Benjelloun,ST678901,23000.3,38,Actif
36,Rachid El Alaoui,UV123456,41000.85,58,Actif
37,Fatima Boudraa,WX456789,26000.55,41,Inactif
38,Said El Fassi,YZ789012,36000.8,57,Actif
39,Nadia Khattabi,AB012345,22000.35,46,Actif
40,Mehdi El Kaddouri,CD345678,29000.7,47,Inactif
41,Jihane El Fahmi,EF678901,25000.45,39,Actif
42,Kenza Lamrani,GH123456,37000.75,56,Inactif
43,Amine El Amrani,IJ345678,31000.8,51,Actif
