,client,type_produit,montant_initial,date_ouverture,duree_contrat,beneficiaire
0,Ahmed Benjelloun,Assurance-vie,150000.0,2021-02-15,10.0,
1,Nadia El Amrani,Compte Epargne,50000.0,2020-09-28,,
2,Khalid Meziane,Placements financiers,300000.0,2019-06-11,5.0,
3,Samira Othmani,Compte Courant,,2022-01-10,,
4,Youssef Bennis,Assurance habitation,20000.0,2020-03-30,1.0,
5,Hassan Chikhaoui,Caisse dEpargne,100000.0,2018-12-05,8.0,
6,Nawal El Mansouri,Plan Epargne Retraite,120000.0,2017-05-19,15.0,
7,Maryam Lahbabi,Fonds Communs de Placement,75000.0,2019-11-07,3.0,
8,Rachid El Faqir,Pret Immobilier,350000.0,2020-08-14,20.0,
9,Sara Berrada,Assurance Auto,18000.0,2021-04-25,2.0,
10,Abdellah El Kadi,Investissement en Bourse,250000.0,2019-03-08,6.0,
11,Fadwa Merroun,Compte Joint,80000.0,2018-10-30,,
12,Imane El Moutawakil,Assurance Maladie,30000.0,2020-06-16,1.0,
13,Salma Belhaj,Plan Epargne Logement,90000.0,2018-01-22,10.0,
14,Tarik Lahlou,Carte Bancaire,,2022-03-05,,
15,Latifa El Haddad,Assurance Deces,40000.0,2019-09-10,5.0,
16,Omar Benali,Credit Consommation,25000.0,2020-12-18,3.0,
17,Farid Amrani,Epargne Salariale,70000.0,2017-07-03,6.0,
18,Nabil El Mahjoub,Assurance Scolaire,15000.0,2021-07-22,1.0,
19,Loubna Chafik,Placement Immo,180000.0,2018-04-29,8.0,
20,Ahmed Boukhriss,Assurance Emprunteur,30000.0,2020-05-14,2.0,
21,Hanane Benjelloun,Livret A,60000.0,2019-02-11,,
22,Mohammed El Wardi,OPCVM,400000.0,2016-11-26,10.0,
23,Houda Idali,PEA,100000.0,2018-09-05,5.0,
24,Aliya El Baraka,Assurance Voyage,25000.0,2021-03-19,1.0,
25,Wissem El Kharraz,Pret Etudiant,20000.0,2020-11-08,4.0,
26,Nassim El Gharbi,Compte a Terme,150000.0,2019-08-17,3.0,
27,Yasmine Berrada,Assurance Malus,30000.0,2021-06-28,1.0,
28,Kamal El Mansour,Compte a Vue,,2022-02-08,,
29,Nadia Benjelloun,Portefeuille Titres,80000.0,2018-10-01,7.0,
30,Said El Yazidi,Assurance Chomage,20000.0,2021-04-05,2.0,
31,Khadija El Fassi,PERCO,70000.0,2017-07-20,5.0,
32,Mehdi El Fakir,Compte Titres,180000.0,2018-03-15,,
33,Samira Benmoussa,Assurance Vieillesse,25000.0,2021-01-26,1.0,
34,Yassine El Mansouri,Service Bancaire,,2022-04-30,,
35,Hanane Chakir,Assurance Responsabilite Civile,30000.0,2020-06-01,2.0,
36,Ali El Morabit,Pret Personnel,15000.0,2021-08-14,2.0,
37,Sanaa Baraka,Plan Retraite Madelin,45000.0,2019-04-18,7.0,
38,Amina Labied,Epargne Handicap,20000.0,2021-09-30,1.0,
39,Said El Aamrani,Compte Sur Livret,50000.0,2018-11-07,6.0,
40,Imane Essaadi,Compte a Rebours,70000.0,2017-12-03,5.0,
41,Mehdi El Khattabi,Assurance Dommages,25000.0,2020-09-14,1.0,
42,Oumaima El Ouazzani,Livret dEpargne,60000.0,2019-01-28,,
43,Hicham El Amrani,PEI,30000.0,2020-05-25,3.0,
44,Sara El Harrak,Compte a Prime,45000.0,2019-02-21,4.0,
45,Karim Chaoui,Assurance Professionnelle,20000.0,2021-05-10,2.0,
