,client,montant_pret,taux_interet,duree_remboursement_mois
0,Karim Benjelloun,15000,4.0,12
1,Amina El Fassi,20000,3.5,24
2,Mehdi Ouldsalek,18000,4.2,18
3,Sofia Lahbabi,25000,3.8,36
4,Hicham Touzani,30000,4.5,24
5,Fatima Zahra Merzak,22000,3.2,18
6,Nabil Bouda,28000,4.0,36
7,Raja El Kadiri,32000,3.7,48
8,Youssef Chraibi,18000,3.1,12
9,Salma Ait Lhou,20000,4.1,24
10,Omar El Younsi,26000,3.6,36
11,Sara Berrada,22000,4.3,18
12,Amir Ould Kaddour,30000,3.3,36
13,Nora Zerhouni,32000,4.4,48
14,Yassin Rami,19000,3.9,24
15,Leila El Fadil,24000,4.2,18
16,Amine Lahbabi,29000,3.4,36
17,Houda Kacem,21000,3.7,12
18,Brahim Belhaj,25000,4.1,24
19,Mona Alaoui,27000,3.6,36
20,Othman Lahlou,31000,3.9,18
21,Selma Berrichi,33000,4.2,48
22,Khalid El Khalidi,20000,3.2,24
23,Laila Oujabour,24000,4.3,36
24,Ilyas Errami,28000,3.5,18
25,Nora Benmessaoud,32000,4.5,48
26,Youssef Saoudi,18000,3.8,24
27,Sara El Khattabi,21000,4.0,12
28,Kamal El Alami,26000,4.1,36
29,Malika Benjelloun,30000,3.4,24
30,Omar Khadiri,22000,4.2,18
31,Nadia El Mansouri,29000,3.6,36
32,Hassan Rami,19000,4.3,24
33,Amira Serghini,20000,3.1,12
34,Samir Touzani,27000,4.4,48
35,Aicha Bouda,25000,3.7,24
36,Khalid El Madi,31000,4.5,18
37,Hanae Lahbabi,33000,3.8,36
38,Fatima Zahra Berrada,18000,4.0,24
39,Yassine Chraibi,21000,3.2,12
40,Salma Otmani,26000,4.1,36
41,Hicham El Kharraz,20000,3.4,24
42,Nouha Ould Ramdani,32000,4.3,48
