,client_id,nom,points,niveau
0,123456,Ahmed Benjelloun,750,Platinum
1,234567,Fatima Amrani,500,Gold
2,345678,Karim El Alaoui,300,Silver
3,456789,Amina Lahbabi,900,Platinum
4,567890,Mounir Haddad,200,Bronze
5,678901,Sofia Mansour,600,Silver
6,789012,Youssef El Mokhtar,1100,Diamond
7,890123,Nadia Touil,400,Gold
8,901234,Hicham Chaoui,800,Platinum
9,101234,Loubna Belkacem,250,Bronze
10,202345,Rachid Berrada,700,Gold
11,303456,Aicha Fassi,1000,Diamond
12,404567,Imane Allal,150,Bronze
13,505678,Khalid Darif,950,Platinum
14,606789,Yasmina Saadani,550,Gold
15,707890,Omar Lahlou,350,Silver
16,808901,Samira Bensaid,1200,Diamond
17,909012,Reda El Amrani,300,Silver
18,101012,Asmaa Bouzidi,850,Gold
19,111023,Yassin El Haddad,300,Bronze
20,121034,Zineb Mansouri,1100,Platinum
21,131045,Jamal Moussaoui,400,Gold
22,141056,Nawal Chami,950,Platinum
23,151067,Said El Kadiri,650,Gold
24,161078,Hanae Benjemia,300,Silver
25,171089,Tariq Bourhim,800,Diamond
26,181091,Salma Benmoussa,500,Gold
27,191092,Amine Dahbi,750,Platinum
28,202103,Fadwa El Ghazi,200,Bronze
29,212114,Othmane El Kabbaj,950,Platinum
30,222125,Rita Bennis,850,Gold
31,232136,Youssef El Fassi,1100,Diamond
32,242147,Nadia Lahmadi,300,Silver
33,252158,Karima Benzekri,700,Gold
34,262169,Mehdi El Gourch,400,Silver
35,272170,Laila Chakir,1000,Diamond
36,282181,Younes El Mahjoub,150,Bronze
37,292192,Najat Belmiloud,950,Platinum
38,302103,Idriss El Mansour,500,Gold
39,312114,Rania Benjelloun,750,Platinum
40,322125,Adil Nouri,650,Gold
41,332136,Soukaina El Azzouzi,300,Silver
