,numero_compte,montant,date_reclassement,motif
0,100102030405,5000,2021-05-12,Retard de paiement
1,200304050607,20000,2021-04-20,Provision annulee
2,300506070809,15000,2021-06-10,Defaut de garantie
3,400608010203,8000,2021-03-05,Liquidation judiciaire
4,500810120304,12000,2021-07-15,Cheque impaye
5,601012030405,3000,2021-08-22,Fraude interne
6,701214161820,10000,2021-11-30,Impaye client
7,801618202224,6000,2021-09-25,Fausse declaration
8,901220222426,7500,2021-10-11,Non-respect des conditions
9,101222242628,1000,2021-12-03,Rupture de contrat
10,111424262830,18000,2021-07-08,Absence de remboursement
11,121626283032,9500,2021-08-10,Retard de versement
12,131828303234,4000,2021-06-02,Refus dassurance
13,142030323436,7000,2021-03-15,Incompatibilite dossier
14,152232343638,11000,2021-01-29,Procedure de recouvrement
15,162434363840,5200,2021-05-18,Defaut de paiement
16,172636384042,8300,2021-11-22,Securite insuffisante
17,182838404244,6400,2021-09-14,Transaction suspecte
18,193040424446,7800,2021-10-04,Absence de paiement
19,203242444648,9200,2021-12-19,Decision judiciaire
20,213444465052,6900,2021-07-28,Compte bloque
21,223646485254,10500,2021-03-25,Detournement de fonds
22,233848505456,15000,2021-04-30,Annulation credit
23,244050525658,6200,2021-08-02,Erreur dencaissement
24,254252545660,4300,2021-06-11,Usurpation didentite
25,264454566062,9100,2021-01-16,Perte de cheque
26,274656586264,7400,2021-02-28,Documentation incomplete
27,284858606466,5800,2021-09-30,Vol de carte bancaire
28,295060626668,8100,2021-11-14,Mandat non respecte
29,305262646870,4700,2021-07-23,Document falsifie
30,315464667072,8800,2021-10-08,Cheque vole
31,325666687274,3300,2021-12-24,Declaration tardive
32,335868707476,9600,2021-06-19,Faillite
33,346070727678,6800,2021-04-12,Titre non renouvele
34,356272748880,7400,2021-07-05,Deterioration bien finance
35,366474769082,5200,2021-09-17,Credit non-honore
36,376676789284,4300,2021-11-27,Solde insuffisant
37,386878808486,8900,2021-02-03,Retrait non autorise
38,397080828688,6400,2021-08-06,Risque financier eleve
39,407282848890,7700,2021-03-30,Operation non reconnue
40,417484869092,5800,2021-01-12,Contrat non respecte
41,427686889294,4200,2021-05-30,Compte inactif
42,437888909496,9300,2021-10-22,Transaction frauduleuse
43,448090929698,5100,2021-08-14,Suspicion blanchiment
