,numero_compte,nom_client,solde,date_derniere_operation
0,MA1234567890123456789,Ahmed Benali,15000,2021-06-15
1,MA9876543210987654321,Fatima El Amrani,28000,2021-06-14
2,MA4567890123456789012,Youssef El Alaoui,50000,2021-06-16
3,MA7890123456789012345,Nadia Bouhaddi,7500,2021-06-13
4,MA2345678901234567890,Jamal Oufkir,100000,2021-06-16
5,MA3456789012345678901,Laila Chakir,35000,2021-06-15
6,MA6789012345678901234,Hassan Mansouri,90000,2021-06-16
7,MA9012345678901234567,Aicha Bensalem,12000,2021-06-15
8,MA5678901234567890123,Sara Fassi,43000,2021-06-14
9,MA0123456789012345678,Mehdi Bahiri,6000,2021-06-13
10,MA7890123456789012345,Yasmine El Amrani,25000,2021-06-16
11,MA2345678901234567890,Khalid Benlafkih,88000,2021-06-16
12,MA3456789012345678901,Leila El Alaoui,19000,2021-06-15
13,MA6789012345678901234,Omar Chraibi,75000,2021-06-16
14,MA9012345678901234567,Nawal Ait Addi,33000,2021-06-15
15,MA5678901234567890123,Karim Berrada,4000,2021-06-14
16,MA0123456789012345678,Samia El Kharraz,27000,2021-06-13
17,MA7890123456789012345,Ayoub El Fahmi,72000,2021-06-16
18,MA2345678901234567890,Sanaa Benjelloun,14000,2021-06-16
19,MA3456789012345678901,Hamza Ifrane,26000,2021-06-15
20,MA6789012345678901234,Salma Bakha,69000,2021-06-16
21,MA9012345678901234567,Adil El Haoudi,9500,2021-06-15
22,MA5678901234567890123,Rachida Mahfoud,48000,2021-06-14
23,MA0123456789012345678,Abdelkader El Glaoui,32000,2021-06-13
24,MA7890123456789012345,Soukaina El Fadil,81000,2021-06-16
25,MA2345678901234567890,Brahim Belkadi,11000,2021-06-16
26,MA3456789012345678901,Farah Taoufik,23000,2021-06-15
27,MA6789012345678901234,Nabil Dahbi,66000,2021-06-16
28,MA9012345678901234567,Imane Bennis,7400,2021-06-15
29,MA5678901234567890123,Meryem El Feydi,47000,2021-06-14
30,MA0123456789012345678,Tarik Ezzrari,29000,2021-06-13
31,MA7890123456789012345,Amina Bourkia,61000,2021-06-16
32,MA2345678901234567890,Anas Rifi,9200,2021-06-16
33,MA3456789012345678901,Siham Chami,25000,2021-06-15
34,MA6789012345678901234,Yassine Bellamzou,68000,2021-06-16
35,MA9012345678901234567,Nadia Bensouda,9600,2021-06-15
36,MA5678901234567890123,Fadwa El Mernissi,45000,2021-06-14
37,MA0123456789012345678,Reda Sebti,28000,2021-06-13
38,MA7890123456789012345,Asmaa Haddaoui,59000,2021-06-16
39,MA2345678901234567890,Younes Lahrichi,8900,2021-06-16
40,MA3456789012345678901,Leila El Habbani,24000,2021-06-15
41,MA6789012345678901234,Anis Ait Itto,67000,2021-06-16
42,MA9012345678901234567,Saida Rami,9800,2021-06-15
43,MA5678901234567890123,Youssef Serghini,49000,2021-06-14
44,MA0123456789012345678,Loubna El Kaddouri,30000,2021-06-13
