,id,numero_compte,montant_commission,date_operation
0,1,ABC123456789,250.5,2022-01-15
1,2,DEF987654321,150.75,2022-02-28
2,3,GHI456123789,180.25,2022-03-10
3,4,JKL789654321,300.0,2022-04-05
4,5,MNO321654987,210.8,2022-05-20
5,6,PQR456987123,270.3,2022-06-12
6,7,STU789654321,190.6,2022-07-18
7,8,VWX987654123,220.45,2022-08-22
8,9,YZA456123789,260.1,2022-09-05
9,10,BCD321654987,310.2,2022-10-14
10,11,EFG456987123,180.7,2022-11-30
11,12,HIJ789654321,200.9,2022-02-01
12,13,KLM987654123,240.3,2022-04-15
13,14,NOP456123789,280.5,2022-03-31
14,15,QRS321654987,230.4,2022-07-02
15,16,TUV456987123,300.1,2022-06-18
16,17,VWX789654321,195.25,2022-09-26
17,18,YZA987654123,205.75,2022-11-09
18,19,BCD456123789,285.0,2022-10-05
19,20,EFG321654987,275.8,2022-08-17
20,21,HIJ456987123,220.6,2022-03-19
21,22,KLM789654321,235.4,2022-01-25
22,23,NOP987654123,255.75,2022-05-30
23,24,QRS456123789,310.9,2022-04-02
24,25,TUV321654987,265.2,2022-10-10
25,26,VWX456987123,290.6,2022-09-14
26,27,YZA789654321,295.2,2022-06-06
27,28,BCD987654123,198.3,2022-11-20
28,29,EFG456123789,225.65,2022-08-08
29,30,HIJ321654987,260.85,2022-07-25
30,31,KLM456987123,280.4,2022-02-28
31,32,NOP789654321,215.7,2022-03-04
32,33,QRS987654123,225.4,2022-10-15
33,34,TUV456123789,255.1,2022-04-21
34,35,VWX321654987,295.8,2022-06-30
35,36,YZA456987123,285.25,2022-01-12
36,37,BCD789654321,245.9,2022-08-07
37,38,EFG987654123,210.7,2022-11-02
38,39,HIJ456123789,275.3,2022-10-30
39,40,KLM321654987,300.2,2022-09-06
40,41,NOP456987123,290.5,2022-05-29
41,42,QRS789654321,220.6,2022-07-11
42,43,TUV987654123,235.9,2022-03-28
43,44,VWX456123789,260.45,2022-02-03
44,45,YZA321654987,280.1,2022-01-28
45,46,BCD456987123,225.6,2022-11-05
46,47,EFG789654321,215.8,2022-09-17
47,48,HIJ987654123,265.3,2022-08-19
48,49,KLM456123789,295.2,2022-07-03
49,50,NOP321654987,285.75,2022-05-16
