,id,nom,prenom,email
0,1,El Amrani,Fatima,f.elamrani@bcp.ma
1,2,Hassani,Karim,k.hassani@bcp.ma
2,3,Benslimane,Nadia,n.benslimane@bcp.ma
3,4,Ait Hkim,Said,s.aitkhim@bcp.ma
4,5,El Fassi,Fatima Zahra,fz.elfassi@bcp.ma
5,6,Mahjoub,Younes,y.mahjoub@bcp.ma
6,7,Benjelloun,Leila,l.benjelloun@bcp.ma
7,8,Sahli,Ahmed,a.sahli@bcp.ma
8,9,Laaroussi,Khadija,k.laaroussi@bcp.ma
9,10,Bouchikhi,Yassine,y.bouchikhi@bcp.ma
10,11,Tazi,Dounia,d.tazi@bcp.ma
11,12,Kadiri,Mounia,m.kadiri@bcp.ma
12,13,Moussaoui,Youssef,y.moussaoui@bcp.ma
13,14,Ouazzani,Imad,i.ouazzani@bcp.ma
14,15,Chakir,Zineb,z.chakir@bcp.ma
15,16,Idrissi,Hakim,h.idrissi@bcp.ma
16,17,Bennani,Yasmine,y.bennani@bcp.ma
17,18,El Khattabi,Nawal,n.elkhattabi@bcp.ma
18,19,Zerouali,Yassir,y.zerouali@bcp.ma
19,20,Baroudi,Anas,a.baroudi@bcp.ma
20,21,El Haddioui,Fatima Ezzahra,f.ez.elhaddioui@bcp.ma
21,22,Rafiq,Ali,a.rafiq@bcp.ma
22,23,Boukhari,Samira,s.boukhari@bcp.ma
23,24,Mansouri,Younes,y.mansouri@bcp.ma
24,25,Benmokhtar,Houda,h.benmokhtar@bcp.ma
25,26,Faraji,Nabil,n.faraji@bcp.ma
26,27,El Ghazouani,Abdelaziz,a.elghazouani@bcp.ma
27,28,Ouadi,Kawtar,k.ouadi@bcp.ma
28,29,Bellali,Hassan,h.bellali@bcp.ma
29,30,Sebbar,Nadia,n.sebbar@bcp.ma
30,31,Nassiri,Ilyas,i.nassiri@bcp.ma
31,32,Benjelloun,Rita,r.benjelloun@bcp.ma
32,33,El Kaddouri,Mohamed,m.elkaddouri@bcp.ma
33,34,Abouzaid,Nawfal,n.abouzaid@bcp.ma
34,35,Lahrichi,Amal,a.lahrichi@bcp.ma
35,36,Bannani,Omar,o.bannani@bcp.ma
36,37,El Azhari,Loubna,l.elazhari@bcp.ma
37,38,El Makrini,Yassine,y.elmakrini@bcp.ma
38,39,Aarab,Sara,s.aarab@bcp.ma
39,40,Ben Abdelkader,Amine,a.benabdelkader@bcp.ma
40,41,Bensouda,Meryem,m.bensouda@bcp.ma
41,42,Chaoui,Brahim,b.chaoui@bcp.ma
42,43,Taouji,Ibtissam,i.taouji@bcp.ma
43,44,Kahlaoui,Anas,a.kahlaoui@bcp.ma
44,45,Hamidi,Fatima Zahra,fz.hamidi@bcp.ma
45,46,Sebbane,Mustapha,m.sebbane@bcp.ma
46,47,Fakir,Chaimaa,c.fakir@bcp.ma
47,48,Ksiyer,Hakim,h.ksiyer@bcp.ma
48,49,Joumani,Salma,s.joumani@bcp.ma
49,50,Bentaleb,Oumaima,o.bentaleb@bcp.ma
