,id,numero_compte_debit,numero_compte_credit,montant,motif,date_execution
0,1,12345678901234567890,09876543210987654321,1500,Salaire,2022-04-05
1,2,23456789012345678901,10987654321098765432,800,Alimentation,2022-04-15
2,3,34567890123456789012,21098765432109876543,2000,Loyer,2022-04-25
3,4,45678901234567890123,32109876543210987654,350,Factures,2022-05-02
4,5,56789012345678901234,43210987654321098765,600,Courses,2022-05-10
5,6,67890123456789012345,54321098765432109876,1200,Assurances,2022-05-18
6,7,78901234567890123456,65432109876543210987,750,Frais medicaux,2022-05-26
7,8,89012345678901234567,76543210987654321098,950,Vacances,2022-06-03
8,9,90123456789012345678,87654321098765432109,1100,Etudes,2022-06-11
9,10,01234567890123456789,09876543210987654321,500,Epargne,2022-06-19
10,11,12345678901234567890,10987654321098765432,850,Achats en ligne,2022-06-27
11,12,23456789012345678901,21098765432109876543,1600,Loisirs,2022-07-05
12,13,34567890123456789012,32109876543210987654,450,Transport,2022-07-13
13,14,45678901234567890123,43210987654321098765,700,Loisirs,2022-07-21
14,15,56789012345678901234,54321098765432109876,980,Factures,2022-07-29
15,16,67890123456789012345,65432109876543210987,1250,Courses,2022-08-06
16,17,78901234567890123456,76543210987654321098,690,Depenses quotidiennes,2022-08-14
17,18,89012345678901234567,87654321098765432109,1430,Assurances,2022-08-22
18,19,90123456789012345678,09876543210987654321,750,Alimentation,2022-08-30
19,20,01234567890123456789,10987654321098765432,550,Loyer,2022-09-07
20,21,12345678901234567890,21098765432109876543,890,Courses,2022-09-15
21,22,23456789012345678901,32109876543210987654,760,Frais medicaux,2022-09-23
22,23,34567890123456789012,43210987654321098765,1320,Vacances,2022-10-01
23,24,45678901234567890123,54321098765432109876,990,Factures,2022-10-09
24,25,56789012345678901234,65432109876543210987,670,Loisirs,2022-10-17
25,26,67890123456789012345,76543210987654321098,1140,Achats,2022-10-25
26,27,78901234567890123456,87654321098765432109,810,Etudes,2022-11-02
27,28,89012345678901234567,09876543210987654321,410,Epargne,2022-11-10
28,29,90123456789012345678,10987654321098765432,950,Assurances,2022-11-18
29,30,01234567890123456789,21098765432109876543,725,Frais medicaux,2022-11-26
30,31,12345678901234567890,32109876543210987654,1200,Depenses quotidiennes,2022-12-04
31,32,23456789012345678901,43210987654321098765,550,Alimentation,2022-12-12
32,33,34567890123456789012,54321098765432109876,850,Loyer,2022-12-20
33,34,45678901234567890123,65432109876543210987,920,Vacances,2022-12-28
34,35,56789012345678901234,76543210987654321098,490,Courses,2023-01-05
35,36,67890123456789012345,87654321098765432109,720,Depenses de sante,2023-01-13
36,37,78901234567890123456,09876543210987654321,600,Loisirs,2023-01-21
37,38,89012345678901234567,10987654321098765432,1350,Factures,2023-01-29
38,39,90123456789012345678,21098765432109876543,910,Depenses quotidiennes,2023-02-06
39,40,01234567890123456789,32109876543210987654,680,Assurances,2023-02-14
40,41,12345678901234567890,43210987654321098765,1120,Achats en ligne,2023-02-22
41,42,23456789012345678901,54321098765432109876,780,Education,2023-03-02
42,43,34567890123456789012,65432109876543210987,990,Etudes,2023-03-10
43,44,45678901234567890123,76543210987654321098,960,Sante,2023-03-18
44,45,56789012345678901234,87654321098765432109,800,Restauration,2023-03-26
45,46,67890123456789012345,09876543210987654321,450,Loisirs,2023-04-03
46,47,78901234567890123456,10987654321098765432,1040,Vacances,2023-04-11
47,48,89012345678901234567,21098765432109876543,760,Frais medicaux,2023-04-19
48,49,90123456789012345678,32109876543210987654,670,Assurances,2023-04-27
49,50,01234567890123456789,43210987654321098765,980,Achats,2023-05-05
