numero_carte,solde,type,date_validite,beneficiaire,plafond_transaction
MA123456789,5000,Entreprise,2023-06-30,Société ABC,1000
MA987654321,3200,Particulier,2022-12-15,Ali Hassan,500
MA456789123,7800,Entreprise,2024-04-18,Société XYZ,1500
MA654321987,4700,Particulier,2023-08-22,Fatima Said,800
MA789123456,6200,Entreprise,2023-05-10,Société EFG,1200
MA321987654,4000,Particulier,2022-11-29,Karim Amrani,700
MA987654321,5500,Entreprise,2024-01-05,Société LMN,1300
MA654321987,3700,Particulier,2023-10-17,Najat Haddad,600
MA789123456,6100,Entreprise,2023-04-25,Société OPQ,1100
MA321987654,3800,Particulier,2022-12-02,Laila Bensaid,700
MA123456789,4800,Entreprise,2023-07-28,Société RST,900
MA987654321,3200,Particulier,2022-12-19,Youssef Khaled,500
MA456789123,7300,Entreprise,2024-05-02,Société UVW,1400
MA654321987,4600,Particulier,2023-08-30,Samira Rami,800
MA789123456,5900,Entreprise,2023-06-11,Société XYZ,1200
MA321987654,4200,Particulier,2022-11-30,Mohammed Ouali,700
MA987654321,5300,Entreprise,2024-01-20,Société VWX,1300
MA654321987,3500,Particulier,2023-11-05,Imane Bachiri,600
MA789123456,6000,Entreprise,2023-05-28,Société YZB,1100
MA321987654,3900,Particulier,2022-12-15,Nadia Choukri,700
MA123456789,4900,Entreprise,2023-08-10,Société EFGH,900
MA987654321,3100,Particulier,2022-12-30,Hassan El Majid,500
MA456789123,7500,Entreprise,2024-06-15,Société LMN,1400
MA654321987,4500,Particulier,2023-09-10,Kenza Belkadi,800
MA789123456,5800,Entreprise,2023-07-06,Société NOP,1200
MA321987654,4100,Particulier,2023-04-25,Ayoub Sabri,700
MA987654321,5200,Entreprise,2024-02-02,Société XYZ,1300
MA654321987,3600,Particulier,2023-11-20,Leila Bousfiha,600
MA789123456,5900,Entreprise,2023-06-10,Société RST,1200
MA321987654,4000,Particulier,2022-12-28,Rachid Allioui,700
MA123456789,4700,Entreprise,2023-08-05,Société EFGH,900
MA987654321,3200,Particulier,2022-12-27,Fatima Zahra,500
MA456789123,7200,Entreprise,2024-05-25,Société OPQ,1400
MA654321987,4800,Particulier,2023-09-28,Othmane Nassiri,800
MA789123456,5700,Entreprise,2023-07-15,Société ABC,1200
MA321987654,4300,Particulier,2023-01-10,Sara Bennis,700
MA987654321,5400,Entreprise,2024-02-18,Société STU,1300
MA654321987,3400,Particulier,2023-12-05,Mounir Boulahia,600
MA789123456,6000,Entreprise,2023-07-28,Société XYZ,1100
MA321987654,3800,Particulier,2023-01-15,Hakim Chakiri,700
MA123456789,5000,Entreprise,2023-09-10,Société MNO,1000
MA987654321,3100,Particulier,2022-12-31,Youssef Rami,500
