numéro_carte,titulaire,limite_depense_mensuelle,date_validite,seuil_opposition
7890 1234 5678 9012,Fatima Khalil,15000 MAD,12/2024,5000 MAD
6754 3210 9876 5432,Youssef Amrani,25000 MAD,09/2023,10000 MAD
0987 6543 2109 8765,Nadia Fassi,20000 MAD,06/2025,7500 MAD
1234 5678 9012 3456,Khalid Haddaoui,30000 MAD,03/2024,12000 MAD
5432 1098 7654 3210,Leila Chakir,18000 MAD,08/2023,8000 MAD
9786 5432 0198 7654,Mohamed El Youssoufi,22000 MAD,11/2025,9000 MAD
3456 7890 1234 5678,Sara El Khamlichi,27000 MAD,07/2024,11000 MAD
2109 8765 4321 0987,Amine Bennani,19000 MAD,04/2023,7000 MAD
4567 8901 2345 6789,Imane Lahmamsi,21000 MAD,10/2025,9500 MAD
6543 2109 8765 4321,Omar Kabbaj,28000 MAD,05/2024,11500 MAD
8901 2345 6789 0123,Loubna Slaoui,25000 MAD,02/2023,10500 MAD
4321 0987 6543 2109,Hicham Massi,26000 MAD,09/2025,10000 MAD
7809 1234 5678 9012,Amina Chraibi,29000 MAD,02/2024,12500 MAD
6742 3201 9876 5432,Yassine Bouhaddi,17000 MAD,08/2023,8000 MAD
0918 7654 3210 9876,Rita Belkadi,23000 MAD,04/2025,9000 MAD
3421 0987 6543 2109,Hamza Lahlou,31000 MAD,03/2024,13000 MAD
7801 2345 6789 0123,Salma El Mekki,26000 MAD,07/2023,10500 MAD
8921 3456 7890 1234,Karim Mezouar,28500 MAD,11/2025,11500 MAD
6512 1098 7654 3210,Leila Bensaid,19500 MAD,06/2023,7000 MAD
7345 6789 0123 4567,Rachid Tazi,32000 MAD,05/2024,13500 MAD
2345 6789 0123 4567,Nora Fakir,27500 MAD,08/2023,11000 MAD
9810 2345 6789 0123,Youssef Hibatallah,20500 MAD,01/2023,9500 MAD
3465 7890 1234 5678,Fatima Zerrouki,29500 MAD,12/2025,12000 MAD
8782 3210 9876 5432,Karima Benmoussa,17500 MAD,07/2024,8500 MAD
2190 8765 4321 0987,Tarik Guedira,22500 MAD,10/2023,10000 MAD
4512 0987 6543 2109,Nadia Benani,31500 MAD,11/2025,13000 MAD
7851 2345 6789 0123,Ayoub El Fassi,26500 MAD,09/2023,11000 MAD
8923 4567 8901 2345,Samia Hassani,28000 MAD,02/2024,11500 MAD
6561 0987 6543 2109,Sofia Ait Lachgar,32000 MAD,07/2025,13500 MAD
7324 3201 9876 5432,Abdelkader El Hamida,21000 MAD,04/2024,9500 MAD
0901 8765 4321 0987,Sanaa Lamrani,23500 MAD,09/2023,10000 MAD
3492 0987 6543 2109,Hassan Sebbar,30000 MAD,03/2025,12500 MAD
7813 2345 6789 0123,Selma Marzouki,26500 MAD,06/2023,11000 MAD
8925 4567 8901 2345,Hicham Sefrioui,27000 MAD,01/2024,11500 MAD
6518 0987 6543 2109,Maha Berrada,29000 MAD,05/2025,12000 MAD
7342 3201 9876 5432,Anas Elouali,20000 MAD,10/2024,9000 MAD
0911 8765 4321 0987,Dounia Jai,24000 MAD,11/2023,10000 MAD
3412 0987 6543 2109,Yassin Maliki,29500 MAD,06/2025,12000 MAD
7807 2345 6789 0123,Sara Alaoui,27500 MAD,12/2025,11500 MAD
8927 4567 8901 2345,Rachida Harmouz,32000 MAD,09/2024,13000 MAD
6514 1098 7654 3210,Wassim Cherkaoui,25500 MAD,04/2023,10500 MAD
7320 3201 9876 5432,Nawal Benyousef,21500 MAD,08/2025,9500 MAD
0909 8765 4321 0987,Wissam Chafii,30000 MAD,03/2024,12500 MAD
3414 0987 6543 2109,Yasmine Maimouni,27000 MAD,05/2023,11000 MAD
