numero_carte,type_carte,date_expiration,plafond_depense,pays_utilisation
1234567890123456,Carte Visa,10/2023,10000 MAD,France
2345678901234567,Carte Mastercard,04/2024,15000 MAD,Espagne
3456789012345678,Carte Gold,07/2023,20000 MAD,Italie
4567890123456789,Carte Platinum,11/2024,25000 MAD,Royaume-Uni
5678901234567890,Carte Business,02/2023,30000 MAD,Allemagne
6789012345678901,Carte Electron,05/2025,12000 MAD,Portugal
7890123456789012,Carte Virtuelle,08/2022,8000 MAD,Suède
8901234567890123,Carte Jeune,09/2023,6000 MAD,Pays-Bas
9012345678901234,Carte Etudiant,03/2022,5000 MAD,Maroc
0123456789012345,Carte Prepaid,01/2024,7000 MAD,Tunisie
6543210987654321,Carte Contactless,06/2025,16000 MAD,Émirats arabes unis
7654321098765432,Carte Corporate,11/2022,40000 MAD,États-Unis
8765432109876543,Carte Prestige,08/2023,35000 MAD,Canada
9876543210987654,Carte Titanium,07/2022,22000 MAD,Australie
0987654321098765,Carte Seniors,04/2024,18000 MAD,Brésil
5432109876543210,Carte Classic,02/2023,11000 MAD,Japon
6549873210123456,Carte Silver,12/2025,23000 MAD,Chine
4561237890234561,Carte World Elite,12/2023,28000 MAD,Russie
0129876543212345,Carte Premium,03/2024,32000 MAD,Inde
7896543212365482,Carte Shopping,05/2023,14000 MAD,Thaïlande
3218907654657421,Carte Premium,06/2022,27000 MAD,Turquie
7539514683291862,Carte Aurore,09/2025,19000 MAD,Corée du Sud
1597534862130574,Carte Entreprise,08/2024,26000 MAD,Arabie saoudite
4728159362549703,Carte Business,11/2025,30000 MAD,Indonésie
6842071598324675,Carte Corporate,04/2023,40000 MAD,Nigéria
8742513690583624,Carte Privilège,01/2025,25000 MAD,Ghana
1057289346152874,Carte Corporate,07/2022,38000 MAD,Kenya
2073148695327401,Carte Affaires,03/2024,21000 MAD,Brésil
5036907428163492,Carte Blue,12/2025,29000 MAD,Canada
9637148253084291,Carte Prépayée,10/2023,7000 MAD,France
3691857426037914,Carte Jeune,02/2022,6000 MAD,Maroc
7514928360746892,Carte Étudiante,06/2024,5000 MAD,Tunisie
2931875460296814,Carte Corporate,08/2025,40000 MAD,États-Unis
3052946782139475,Carte Platinum,01/2023,22000 MAD,Japon
5291874362945170,Carte Business,04/2024,30000 MAD,Chine
8740361297854132,Carte Gold,11/2022,25000 MAD,Russie
6851734920867145,Carte Élite,05/2023,32000 MAD,Inde
9173645208946123,Carte Corporate,09/2024,38000 MAD,Brésil
3426709185734920,Carte Business,12/2025,31000 MAD,Indonésie
5963147250891734,Carte Platinum,02/2023,23000 MAD,Australie
2083746915203975,Carte VIP,07/2022,27000 MAD,Corée du Sud
1039074625182975,Carte Entreprise,10/2025,16000 MAD,Japon
