client,numero_compte,type_action,quantite,prix_unitaire,montant_total
Zineb El Mernissi,ABC1234,Telecom,150,120.5,18075.0
Amir Soussi,DEF5678,Finance,80,350.25,28020.0
Leila Berrada,GHI9101,Technologie,100,180.75,18075.0
Yassine Bennani,JKL1121,Energie,50,250.4,12520.0
Amina Meziane,MNO3141,Immobilier,120,85.3,10236.0
Khalid Harrouchi,PQR5161,Sante,70,195.6,13692.0
Nadia Chaoui,STU7181,Transport,90,150.9,13581.0
Rachid El Hafidi,VWX9201,Agroalimentaire,110,160.2,17622.0
Salma Ferhati,YZA2231,Industrie,60,210.7,12642.0
Kamal Zerouali,BCD4241,Automobile,140,115.35,16149.0
Imane Abbassi,EFG6251,Commerce,75,175.45,13158.75
Hicham Oulad,HIJ8261,Pharmaceutique,85,235.45,20012.25
Sabrina Belkadi,KLM0271,Media,95,145.65,13836.75
Achraf Slimani,NOP2281,Textile,65,195.35,12677.75
Asmaa Maalouf,PQR3291,Construction,125,105.3,13162.5
Omar Benslama,STU4301,Aeronautique,55,290.8,15944.0
Rania Chakir,VWX5311,Cosmetique,115,125.4,14421.0
Mohamed Dahmani,YZA6321,Assurance,145,110.35,16017.75
Meryem El Majidi,BCD7331,Logistique,205,80.6,16513.0
Anas Benjelloun,EFG8341,Tourisme,95,138.2,13129.0
Fatima Zohra El Kharroubi,HIJ0351,Hotel,75,158.7,11902.5
Abdelaziz El Meskini,KLM1361,Environnement,105,145.9,15319.5
Nawal El Alami,NOP2371,Recyclage,65,210.45,13668.25
Tarik Ait Sidi,PQR3381,Renouvelables,85,180.35,15329.75
Laila Akkioui,STU4391,TIC,75,195.6,14670.0
Hassan El Idrissi,VWX5401,Artisanat,95,158.75,15081.25
Nada Mansouri,YZA6411,Art,85,175.6,14926.0
Youssef Hamzaoui,BCD7421,Design,115,120.45,13851.75
Nouha El Haouzi,EFG8531,Photo,75,190.3,14272.5
Hicham Filali,HIJ0541,Cinema,95,145.2,13794.0
Sara Benbella,KLM1651,Musique,65,225.6,14664.0
Adil Bensaid,NOP2761,Danse,105,135.45,14172.75
Mouna Rami,PQR3871,Theatre,95,140.75,13371.25
Rida Oufkir,STU4981,Peinture,75,185.5,13912.5
Lina Bakri,VWX5091,Sculpture,85,165.3,14050.5
Othmane Chakir,YZA6101,Gastronomie,155,130.2,20166.0
Nora Boujemaa,BCD7111,Vin,95,160.35,15233.25
Sofia Hariri,EFG8121,Champagne,75,225.6,16920.0
Hassan Zaz,HIJ9231,Brasserie,85,195.7,16634.5
Malika Oufkir,KLM0341,Luxe,105,170.45,17897.25
Yassin Mokhtar,NOP4271,Cuisine,65,215.3,13994.5
Nadia Benaicha,PQR3281,Patissierie,105,140.25,14726.25
