numero_carte_identite,nom,prenom,date_naissance,lieu_naissance,profession,adresse
AB123456,El Fassi,Hicham,1980-05-15,Casablanca,Ingénieur,"23 Rue des Oliviers, Casablanca"
CD654321,Ait Benhaddou,Fatima,1975-12-20,Marrakech,Commerçante,"7 Avenue des Roses, Marrakech"
EF987654,Tazi,Nabil,1992-08-03,Rabat,Professeur,"11 Boulevard Abdelmoumen, Rabat"
GH123789,Berrada,Sara,1988-03-10,Tangier,Médecin,"15 Rue des Orangers, Tanger"
IJ567891,Amrani,Ahmed,1970-09-25,Fez,Avocat,"4 Avenue des Jasmins, Fes"
KL456321,Zeroual,Loubna,1985-07-18,Agadir,Architecte,"30 Rue des Dunes, Agadir"
MN789123,Cherkaoui,Youssef,1983-11-29,Essaouira,Artiste,"50 Avenue des Arts, Essaouira"
OP654987,Saidi,Nadia,1990-06-12,Tetouan,Infirmière,"9 Rue des Lilas, Tetouan"
QR231456,Kabbaj,Mounir,1979-04-05,Oujda,Entrepreneur,"25 Boulevard Al Farabi, Oujda"
ST786543,Laaroussi,Yasmina,1977-01-07,Meknes,Enseignante,"18 Avenue des Oliviers, Meknes"
UV912345,Fettah,Hassan,1973-02-28,Tanger,Consultant,"6 Rue des Roses, Tanger"
WX456789,Mansouri,Nawal,1987-10-14,Rabat,Journaliste,"12 Boulevard Abdelmoumen, Rabat"
YZ654321,Belaabed,Karim,1982-08-19,Settat,Banquier,"8 Avenue des Banques, Settat"
AB789123,Ennaji,Nawal,1995-11-30,Casablanca,Étudiante,"22 Rue des Universités, Casablanca"
CD567891,Jouahri,Sofia,1981-03-24,Marrakech,Designer,"10 Avenue des Artistes, Marrakech"
EF123456,Ouazzani,Mehdi,1976-06-18,Rabat,Pharmacien,"13 Boulevard des Pharmacies, Rabat"
GH987654,Fassi,Salma,1989-09-22,Tangier,Traductrice,"17 Rue des Traductions, Tanger"
IJ456321,Bouzid,Ahmed,1984-05-07,Fez,Ingénieur Civil,"5 Avenue des Chantiers, Fes"
KL789123,Kadiri,Yasmine,1986-12-11,Agadir,Pilote,"33 Rue des Pilotes, Agadir"
MN654987,Doukkali,Adil,1980-10-06,Essaouira,Électricien,"55 Avenue de l'Électricité, Essaouira"
OP231456,Fakir,Ibtissam,1974-07-02,Tetouan,Infirmière,"12 Rue des Infirmières, Tetouan"
QR786543,Sekkat,Mohamed,1978-08-15,Oujda,Mécanicien,"26 Boulevard des Mécaniciens, Oujda"
ST912345,Zerouali,Kenza,1982-04-25,Meknes,Artiste Peintre,"20 Avenue des Peintres, Meknes"
UV456789,Taleb,Yassine,1972-01-12,Tanger,Chef Cuisinier,"10 Rue des Marmites, Tanger"
WX654321,Bouhaddi,Noureddine,1988-02-09,Rabat,Journaliste,"14 Boulevard des Reporters, Rabat"
YZ123456,Naimi,Karima,1993-05-31,Settat,Chercheuse,"4 Avenue de la Recherche, Settat"
AB456321,Rahmouni,Rachid,1974-12-08,Casablanca,Architecte,"28 Rue des Architectes, Casablanca"
CD789123,Belkadi,Latifa,1975-09-16,Marrakech,Styliste,"12 Avenue des Créateurs, Marrakech"
EF567891,Amzil,Zineb,1983-03-14,Rabat,Pharmacienne,"17 Boulevard des Pharmacies, Rabat"
GH123456,Mrani,Samir,1979-09-19,Tangier,Consultant Financier,"3 Rue des Finances, Tanger"
IJ987654,Bouziane,Fatima,1981-07-04,Fez,Infirmière Puéricultrice,"7 Avenue des Bébés, Fes"
KL231456,Karim,Yassine,1977-08-29,Agadir,Gérant de Société,"45 Ru des Entrepreneurs, Agadir"
MN786543,Tazi,Amina,1985-02-22,Essaouira,Journaliste,"60 Boulevard de la Presse, Essaouira"
OP912345,Mernissi,Ahmed,1989-01-17,Tetouan,Ingénieur Informaticien,"13 Avenue de l'Informatique, Tetouan"
QR456789,Benjelloun,Salma,1992-06-20,Oujda,Avocate,"28 Boulevard des Avocats, Oujda"
ST654321,Kabouya,Hicham,1987-12-10,Meknes,Designer Graphique,"25 Avenue des Graphistes, Meknes"
UV123456,Cherkaoui,Fadwa,1991-10-03,Tanger,Pilote de Ligne,"5 Rue des Aéroports, Tanger"
WX789123,Berrada,Rachida,1980-08-12,Rabat,Consultante RH,"19 Boulevard des Ressources Humaines, Rabat"
YZ567891,Nafidi,Yassine,1976-09-15,Settat,Cadre Bancaire,"9 Avenue des Cadres, Settat"
AB789123,El Otmani,Asmaa,1984-04-08,Casablanca,Médecin Généraliste,"30 Rue des Médecins, Casablanca"
CD654987,Alaoui,Karima,1978-11-16,Marrakech,Avocate,"14 Avenue des Avocats, Marrakech"
EF231456,El Amrani,Mohamed,1986-07-21,Rabat,Chef de Projet,"8 Boulevard des Projets, Rabat"
GH786543,Tazi,Kenza,1990-02-28,Tangier,Styliste,"11 Rue des Styles, Tanger"
IJ912345,Boumalha,Yassine,1982-11-05,Fez,Enseignant,"6 Avenue des Écoles, Fes"
