identifiant,client,compte,montant_epargne,taux_interet,interets_gagnes
001,Ahmed Benjelloun,1020304050,15000,3.5,525
002,Fatima El Alaoui,2021222324,25000,2.8,700
003,Mehdi Chakir,3031323334,10000,4.2,420
004,Layla Fassi,4041424344,35000,3.0,1050
005,Karim Haddad,5051525354,20000,3.1,620
006,Leila Marouani,6061626374,18000,2.5,450
007,Omar Boussaid,7071727374,28000,3.6,1008
008,Nadia Ouazzani,8081829384,15000,4.0,600
009,Samir Kettani,9091920344,32000,2.7,864
010,Amina Essafi,10110210344,25000,3.3,825
011,Hicham Berbich,11111211394,18000,2.9,522
012,Houda El Omari,12112212344,21000,3.8,798
013,Ali Boulifa,13113213344,30000,4.1,1230
014,Sanae Lahlali,14114214344,26000,3.4,884
015,Mounir Bennis,15115215344,35000,2.6,910
016,Salma Zahiri,16116216344,19000,3.2,608
017,Achraf Belhaj,17117217344,23000,3.7,851
018,Nisrine El Mahjoub,18118218344,27000,2.4,648
019,Youssef Arif,19119219344,32000,3.9,1248
020,Sara El Haddaoui,20120220344,21000,2.6,546
021,Adil Chraibi,21121221344,18000,3.1,558
022,Imane Kharbouch,22122222344,24000,3.4,816
023,Yassine Ouhbi,23123223344,28000,2.8,784
024,Rabia Moussaoui,24124224344,20000,3.5,700
025,Khalid Chamlal,25125225344,29000,3.0,870
026,Safia Bouhaddi,26126226344,26000,2.7,702
027,Reda Harfouche,27127227344,22000,3.2,704
028,Hanae Boudali,28128228344,18000,3.8,684
029,Yassir El Bakkali,29129229344,33000,2.4,792
030,Amal Jaafari,30130230344,25000,3.6,900
031,Kamal Lahmadi,31131231344,19000,3.1,589
032,Soukaina Rachidi,32132232344,27000,3.9,1053
033,Anas El Haouari,33133233344,35000,3.5,1225
034,Ibtissam Oulad,34134234344,20000,2.7,540
035,Younes Berrada,35135235344,30000,3.2,960
036,Sanaa El Fatmi,36136236344,23000,2.9,667
037,Aliya Bougrine,37137237344,28000,3.6,1008
038,Ahmed Taoufik,38138238344,32000,3.8,1216
039,Nawal Bouhaddou,39139239344,21000,2.5,525
040,Ali El Filali,40140240344,19000,3.0,570
041,Aicha Eddahabi,41141241344,24000,3.1,744
042,Mouna El Abidi,42142242344,26000,3.4,884
043,Hicham Driouech,43143243344,27000,2.8,756
044,Safaa Bensouda,44144244344,30000,2.6,780
045,Omar Kassimi,45145245344,22000,3.3,726
046,Najwa Maataoui,46146246344,18000,3.5,630
047,Hassan Lahlou,47147247344,31000,3.7,1147
048,Nisrine El Omari,48148248344,33000,2.9,957
049,Ali El Mouni,49149249344,24000,3.6,864
050,Hanae Benzakour,50150250344,26000,3.0,780
