num_compte,prenom,nom,solde,date_ouverture
100012345678,Yasmine,Ait Benhaddou,5000,2020-03-10
100045678901,Mehdi,El Kabbaj,2500,2021-06-22
100056789012,Fatima,Moussaoui,7000,2019-12-05
100067890123,Ahmed,Bouazza,3000,2020-11-30
100078901234,Nour,Hassan,4300,2018-02-14
100089012345,Karima,Saidi,6000,2019-09-03
100090123456,Omar,Chakir,8200,2020-08-20
100101234567,Sara,Joumani,5500,2021-05-11
100112345678,Yassir,Maarouf,3700,2019-01-28
100123456789,Khadija,Ammari,4800,2020-10-15
100134567890,Hicham,Benani,6900,2019-04-07
100145678901,Inès,Lamrani,6200,2018-07-26
100156789012,Anas,Sebbani,7400,2020-01-19
100167890123,Lina,Fassi,3400,2019-11-04
100178901234,Imane,Bouazzati,4700,2018-04-30
100189012345,Adil,Tamrabet,5800,2021-03-09
100190123456,Hiba,Chakiri,8100,2019-10-22
100201234567,Samir,Jabari,5200,2020-04-18
100212345678,Rim,Mehdaoui,3600,2018-09-15
100223456789,Zakaria,Atassi,4900,2020-12-03
100234567890,Mouna,Hadif,6800,2019-05-14
100245678901,Ayoub,Lahbabi,6300,2018-08-10
100256789012,Amina,Setti,7300,2020-02-23
100267890123,Reda,Fassi,3500,2021-01-16
100278901234,Lamia,Boughaba,4600,2018-06-07
100289012345,Ismail,Tazi,5700,2019-12-27
100290123456,Rania,Chadli,8000,2021-04-13
100301234567,Loubna,Jayidi,5400,2018-11-20
100312345678,Mehdi,Bousfiha,3800,2020-05-25
100323456789,Hind,Slaoui,4700,2019-02-13
100334567890,Sofian,Benjamaa,7000,2018-04-02
100345678901,Nawal,Laghzaoui,6300,2020-01-07
100356789012,Mahmoud,Sakali,7700,2019-06-30
100367890123,Salma,Fekkak,3300,2018-08-25
100378901234,Aïcha,Bouziane,4500,2021-08-02
100389012345,Khalid,Tanjawi,5900,2019-05-19
100390123456,Myriam,Christopher,8200,2018-01-15
100401234567,Brahim,Malik,5300,2020-06-12
100412345678,Siham,Oubih,3400,2019-03-04
100423456789,Yassine,El Kettani,4800,2018-10-22
100434567890,Meryem,Hamdaoui,6900,2020-11-09
100445678901,Abdelilah,Lahbabi,6500,2019-07-04
100456789012,Hanane,Jamaï,7400,2018-03-01
100467890123,Salim,Fakr,3600,2021-09-17
