id,facture_numero,client_nom,montant,date_paiement,mode_paiement,statut
1,FAC-001,Ahmed Benali,2500,2021-06-03,Virement,Réglé
2,FAC-002,Fatima Zeroual,1800,2021-06-10,Chèque,En attente de validation
3,FAC-003,Karim Mahjoub,3200,2021-07-01,Carte bancaire,Réglé
4,FAC-004,Nawal El Makki,4200,2021-06-25,Espèces,En cours de traitement
5,FAC-005,Mouad Oussama,1500,2021-07-05,Virement,Réglé
6,FAC-006,Rania El Fassi,3700,2021-06-20,Chèque,Réglé
7,FAC-007,Yassine Berrada,2800,2021-07-15,Carte bancaire,En attente de validation
8,FAC-008,Lina Mernissi,1950,2021-06-30,Espèces,Réglé
9,FAC-009,Hicham Najib,4100,2021-07-02,Virement,En cours de traitement
10,FAC-010,Salma Belarbi,3300,2021-07-09,Chèque,Réglé
11,FAC-011,Reda Bouskoura,2750,2021-06-12,Carte bancaire,En attente de validation
12,FAC-012,Amal Rhioui,2400,2021-06-18,Espèces,Réglé
13,FAC-013,Omar Chraibi,3800,2021-07-03,Virement,Réglé
14,FAC-014,Asmaa Toufik,1950,2021-06-28,Chèque,En cours de traitement
15,FAC-015,Hassan Lamrani,4300,2021-07-07,Carte bancaire,Réglé
16,FAC-016,Fatim Zahra Chaouki,1600,2021-06-22,Espèces,En attente de validation
17,FAC-017,Youssef Boujlil,3700,2021-07-12,Virement,Réglé
18,FAC-018,Selma Bennis,3300,2021-07-20,Chèque,En cours de traitement
19,FAC-019,Imane Ziani,2800,2021-07-29,Carte bancaire,Réglé
20,FAC-020,Mehdi Boukhriss,2500,2021-07-30,Espèces,Réglé
