client,nif,solde,age,statut
Fadwa Benali,AB123456,25000.5,45,Actif
Karim El Mansouri,CD456789,32000.75,52,Inactif
Nadia Amrani,EF789012,18000.3,35,Actif
Mehdi Berrada,GH012345,41000.2,48,Actif
Yasmine Toumi,IJ345678,29000.65,40,Inactif
Ahmed Chakir,KL678901,36000.9,58,Actif
Sara Oufkir,MN901234,20000.4,43,Inactif
Khalid El Alaoui,OP123567,28000.55,49,Actif
Loubna Benjelloun,QR456789,34000.7,55,Inactif
Othmane Amiri,ST789012,23000.35,38,Actif
Zineb Fassi,UV012345,39000.25,51,Actif
Mohammed Khattabi,WX345678,27000.6,42,Inactif
Hind El Kaddouri,YZ678901,32000.85,57,Actif
Yassine El Fahmi,AB901234,21000.45,44,Inactif
Fatiha Lamrani,CD123456,38000.3,50,Actif
Ali El Amrani,EF456789,26000.55,41,Inactif
Rita Belhaj,GH789012,33000.8,54,Actif
Mustapha Mernissi,IJ012345,22000.35,46,Actif
Samira Bensaid,KL345678,30000.7,53,Inactif
Brahim El Mekki,MN678901,25000.45,39,Actif
Laila Chaouki,OP901234,37000.75,56,Inactif
Asmaa Benjelloun,QR123456,29000.5,47,Actif
Mahmoud El Alaoui,ST456789,40000.8,60,Actif
Nisrine Boudraa,UV789012,26000.55,41,Inactif
Hakim El Fassi,WX012345,35000.9,59,Actif
Hanane Khattabi,YZ345678,24000.4,37,Inactif
Malika El Kaddouri,AB678901,33000.7,54,Actif
Tarik El Fahmi,CD901234,20000.35,43,Inactif
Nora Lamrani,EF123456,31000.9,52,Actif
Ismael El Amrani,GH456789,27000.55,42,Inactif
Sofia Belhaj,IJ789012,34000.8,55,Actif
Khalid Mernissi,KL012345,24000.35,37,Actif
Yasmine Bensaid,MN456789,32000.7,53,Inactif
Amina El Mekki,OP789012,27000.45,42,Actif
Hicham Chaouki,QR012345,38000.75,50,Inactif
Halima Benjelloun,ST678901,23000.3,38,Actif
Rachid El Alaoui,UV123456,41000.85,58,Actif
Fatima Boudraa,WX456789,26000.55,41,Inactif
Said El Fassi,YZ789012,36000.8,57,Actif
Nadia Khattabi,AB012345,22000.35,46,Actif
Mehdi El Kaddouri,CD345678,29000.7,47,Inactif
Jihane El Fahmi,EF678901,25000.45,39,Actif
Kenza Lamrani,GH123456,37000.75,56,Inactif
Amine El Amrani,IJ345678,31000.8,51,Actif
