client_id,nom,points,niveau
123456,Ahmed Benjelloun,750,Platinum
234567,Fatima Amrani,500,Gold
345678,Karim El Alaoui,300,Silver
456789,Amina Lahbabi,900,Platinum
567890,Mounir Haddad,200,Bronze
678901,Sofia Mansour,600,Silver
789012,Youssef El Mokhtar,1100,Diamond
890123,Nadia Touil,400,Gold
901234,Hicham Chaoui,800,Platinum
101234,Loubna Belkacem,250,Bronze
202345,Rachid Berrada,700,Gold
303456,Aicha Fassi,1000,Diamond
404567,Imane Allal,150,Bronze
505678,Khalid Darif,950,Platinum
606789,Yasmina Saadani,550,Gold
707890,Omar Lahlou,350,Silver
808901,Samira Bensaid,1200,Diamond
909012,Reda El Amrani,300,Silver
101012,Asmaa Bouzidi,850,Gold
111023,Yassin El Haddad,300,Bronze
121034,Zineb Mansouri,1100,Platinum
131045,Jamal Moussaoui,400,Gold
141056,Nawal Chami,950,Platinum
151067,Said El Kadiri,650,Gold
161078,Hanae Benjemia,300,Silver
171089,Tariq Bourhim,800,Diamond
181091,Salma Benmoussa,500,Gold
191092,Amine Dahbi,750,Platinum
202103,Fadwa El Ghazi,200,Bronze
212114,Othmane El Kabbaj,950,Platinum
222125,Rita Bennis,850,Gold
232136,Youssef El Fassi,1100,Diamond
242147,Nadia Lahmadi,300,Silver
252158,Karima Benzekri,700,Gold
262169,Mehdi El Gourch,400,Silver
272170,Laila Chakir,1000,Diamond
282181,Younes El Mahjoub,150,Bronze
292192,Najat Belmiloud,950,Platinum
302103,Idriss El Mansour,500,Gold
312114,Rania Benjelloun,750,Platinum
322125,Adil Nouri,650,Gold
332136,Soukaina El Azzouzi,300,Silver
