numero_compte,montant,date_reclassement,motif
100102030405,5000,2021-05-12,Retard de paiement
200304050607,20000,2021-04-20,Provision annulée
300506070809,15000,2021-06-10,Défaut de garantie
400608010203,8000,2021-03-05,Liquidation judiciaire
500810120304,12000,2021-07-15,Chèque impayé
601012030405,3000,2021-08-22,Fraude interne
701214161820,10000,2021-11-30,Impayé client
801618202224,6000,2021-09-25,Fausse déclaration
901220222426,7500,2021-10-11,Non-respect des conditions
101222242628,1000,2021-12-03,Rupture de contrat
111424262830,18000,2021-07-08,Absence de remboursement
121626283032,9500,2021-08-10,Retard de versement
131828303234,4000,2021-06-02,Refus d'assurance
142030323436,7000,2021-03-15,Incompatibilité dossier
152232343638,11000,2021-01-29,Procédure de recouvrement
162434363840,5200,2021-05-18,Défaut de paiement
172636384042,8300,2021-11-22,Sécurité insuffisante
182838404244,6400,2021-09-14,Transaction suspecte
193040424446,7800,2021-10-04,Absence de paiement
203242444648,9200,2021-12-19,Décision judiciaire
213444465052,6900,2021-07-28,Compte bloqué
223646485254,10500,2021-03-25,Détournement de fonds
233848505456,15000,2021-04-30,Annulation crédit
244050525658,6200,2021-08-02,Erreur d'encaissement
254252545660,4300,2021-06-11,Usurpation d'identité
264454566062,9100,2021-01-16,Perte de chèque
274656586264,7400,2021-02-28,Documentation incomplète
284858606466,5800,2021-09-30,Vol de carte bancaire
295060626668,8100,2021-11-14,Mandat non respecté
305262646870,4700,2021-07-23,Document falsifié
315464667072,8800,2021-10-08,Chèque volé
325666687274,3300,2021-12-24,Déclaration tardive
335868707476,9600,2021-06-19,Faillite
346070727678,6800,2021-04-12,Titre non renouvelé
356272748880,7400,2021-07-05,Détérioration bien financé
366474769082,5200,2021-09-17,Crédit non-honoré
376676789284,4300,2021-11-27,Solde insuffisant
386878808486,8900,2021-02-03,Retrait non autorisé
397080828688,6400,2021-08-06,Risque financier élevé
407282848890,7700,2021-03-30,Opération non reconnue
417484869092,5800,2021-01-12,Contrat non respecté
427686889294,4200,2021-05-30,Compte inactif
437888909496,9300,2021-10-22,Transaction frauduleuse
448090929698,5100,2021-08-14,Suspicion blanchiment
