operation,montant,date,beneficiaire,compte_source,compte_destination
Virement international,7500,2022-05-12,John Doe,MA1234567891234567890,US7890123456789012345
Retrait d'espèces,1200,2022-04-27,Guichet Automatique,MA1234567891234567890,
Paiement carte bancaire,850,2022-06-01,Carrefour,MA1234567891234567890,
Prélèvement,320,2022-04-08,EDF,MA1234567891234567890,
Remboursement crédit,15000,2022-05-20,Banque XYZ,MA1234567891234567890,
Dépôt d'argent,5000,2022-03-15,Client X,,MA1234567891234567890
Paiement facture,300,2022-04-05,ONEE,MA1234567891234567890,
Virement interne,4200,2022-06-10,Client Y,MA1234567891234567890,MA0987654321098765432
Echange devises,2000,2022-03-30,Agence BCP,MA1234567891234567890,
Paiement service,700,2022-05-25,Maroc Telecom,MA1234567891234567890,
Remboursement prêt,10000,2022-03-10,Client Z,MA1234567891234567890,
Virement permanent,1800,2022-06-18,Livret Epargne,MA1234567891234567890,
Achat en ligne,600,2022-05-02,Amazon,MA1234567891234567890,
Virement urgent,2800,2022-03-22,Famille,MA1234567891234567890,MA9876543210987654321
Paiement loyer,900,2022-06-05,Propriétaire,MA1234567891234567890,
Virement sociétés,3600,2022-05-15,Entreprise A,MA1234567891234567890,MA5432109876543210987
Paiement impôts,1300,2022-03-18,Trésor Public,MA1234567891234567890,
Virement salaire,4500,2022-06-25,Employeur,MA1234567891234567890,
Paiement assurance,7000,2022-05-22,Compagnie Assurances,MA1234567891234567890,
Virement familial,1500,2022-06-30,Parent,MA1234567891234567890,MA7654321098765432109
Paiement abonnement,400,2022-03-12,Netflix,MA1234567891234567890,
Virement achat immobilier,70000,2022-05-17,Acheteur,MA1234567891234567890,MA6543210987654321098
Gel du compte,0,2022-03-08,Client D,MA1234567891234567890,
Paiement fournisseur,2400,2022-06-14,Fournisseur F,MA1234567891234567890,
Emission chèque,950,2022-05-07,Bénéficiaire C,MA1234567891234567890,
Virement don association,800,2022-06-26,Association Humanitaire,MA1234567891234567890,MA4321098765432109876
Paiement taxi,30,2022-03-29,Chauffeur Taxi,MA1234567891234567890,
Virement investissement,10000,2022-06-29,Société Investissements,MA1234567891234567890,MA2109876543210987654
Mise à disposition fonds,20000,2022-05-28,Client E,MA1234567891234567890,
Virement secours,500,2022-03-16,Client F,MA1234567891234567890,MA5432109876543210987
Paiement santé,120,2022-06-22,Pharmacie,MA1234567891234567890,
Virement solidaire,300,2022-05-05,Client G,MA1234567891234567890,MA8765432109876543210
Paiement éducation,6000,2022-03-24,École A,MA1234567891234567890,
Achat bijoux,1800,2022-06-20,Bijouterie B,MA1234567891234567890,
Virement pension,3200,2022-05-11,Client H,MA1234567891234567890,
Paiement loisirs,250,2022-03-27,Cinéma C,MA1234567891234567890,
Virement offshore,15000,2022-06-24,Société Offshore,MA1234567891234567890,XX9876543210987654321
Règlement litige,450,2022-05-19,Client I,MA1234567891234567890,
Virement association,1000,2022-06-11,Association Culturelle,MA1234567891234567890,MA8901234567890123456
Paiement transport,70,2022-03-03,Compagnie Transport,MA1234567891234567890,
Règlement dette,560,2022-06-09,Ami J,MA1234567891234567890,
Virement prévoyance,1800,2022-05-29,Conjoint,MA1234567891234567890,
Paiement santé animale,40,2022-03-25,Vétérinaire,MA1234567891234567890,
Remboursement achat,900,2022-06-15,Magasin D,MA1234567891234567890,
Virement assistance,3000,2022-05-14,Client K,MA1234567891234567890,MA7654321098765432109
Paiement médecin,60,2022-03-13,Docteur L,MA1234567891234567890,
Crédit encaissé,3000,2022-06-13,Client M,,MA1234567891234567890
Virement familial,1200,2022-05-21,Parent,MA1234567891234567890,MA6543210987654321098
