num_transaction,compte_origine,compte_destination,montant,date,statut
TRF001,0123456789,9876543210,5000,2022-01-15,validé
TRF002,2345678901,8765432109,10000,2022-01-16,en attente
TRF003,3456789012,7654321098,7500,2022-01-17,en attente
TRF004,4567890123,6543210987,12000,2022-01-18,en cours de traitement
TRF005,5678901234,5432109876,3000,2022-01-19,validé
TRF006,6789012345,4321098765,6000,2022-01-20,validé
TRF007,7890123456,3210987654,9500,2022-01-21,en cours de traitement
TRF008,8901234567,2109876543,8500,2022-01-22,validé
TRF009,9012345678,1098765432,11000,2022-01-23,validé
TRF010,0123456789,0987654321,7000,2022-01-24,en attente
TRF011,1234567890,9876543210,8000,2022-01-25,validé
TRF012,2345678901,8765432109,7500,2022-01-26,en cours de traitement
TRF013,3456789012,7654321098,9500,2022-01-27,en cours de traitement
TRF014,4567890123,6543210987,12000,2022-01-28,en attente
TRF015,5678901234,5432109876,3000,2022-01-29,validé
TRF016,6789012345,4321098765,6000,2022-01-30,validé
TRF017,7890123456,3210987654,9000,2022-01-31,en attente
TRF018,8901234567,2109876543,8500,2022-02-01,validé
TRF019,9012345678,1098765432,13000,2022-02-02,en attente
TRF020,0123456789,0987654321,8000,2022-02-03,validé
TRF021,1234567890,9876543210,6000,2022-02-04,en cours de traitement
TRF022,2345678901,8765432109,5000,2022-02-05,en cours de traitement
TRF023,3456789012,7654321098,7500,2022-02-06,en attente
TRF024,4567890123,6543210987,12000,2022-02-07,validé
TRF025,5678901234,5432109876,3000,2022-02-08,validé
TRF026,6789012345,4321098765,6000,2022-02-09,en attente
TRF027,7890123456,3210987654,9500,2022-02-10,validé
TRF028,8901234567,2109876543,8500,2022-02-11,validé
TRF029,9012345678,1098765432,11000,2022-02-12,en cours de traitement
TRF030,0123456789,0987654321,7000,2022-02-13,validé
TRF031,1234567890,9876543210,8000,2022-02-14,validé
TRF032,2345678901,8765432109,7500,2022-02-15,en cours de traitement
TRF033,3456789012,7654321098,9500,2022-02-16,en cours de traitement
TRF034,4567890123,6543210987,12000,2022-02-17,en attente
TRF035,5678901234,5432109876,3000,2022-02-18,validé
TRF036,6789012345,4321098765,6000,2022-02-19,validé
TRF037,7890123456,3210987654,9000,2022-02-20,en cours de traitement
TRF038,8901234567,2109876543,8500,2022-02-21,validé
TRF039,9012345678,1098765432,13000,2022-02-22,en attente
TRF040,0123456789,0987654321,8000,2022-02-23,validé
TRF041,1234567890,9876543210,6000,2022-02-24,validé
TRF042,2345678901,8765432109,5000,2022-02-25,en attente
TRF043,3456789012,7654321098,7500,2022-02-26,en attente
TRF044,4567890123,6543210987,12000,2022-02-27,en cours de traitement
TRF045,5678901234,5432109876,3000,2022-02-28,validé
TRF046,6789012345,4321098765,6000,2022-02-29,validé
TRF047,7890123456,3210987654,9500,2022-03-01,en cours de traitement
TRF048,8901234567,2109876543,8500,2022-03-02,validé
TRF049,9012345678,1098765432,11000,2022-03-03,validé
TRF050,0123456789,0987654321,7000,2022-03-04,en attente
